"priority","pdfIndex","packId","category","question","pdfAnswer","packAnswer","sourcePriority","recommendedAction","aiSuggestedDecision","aiConfidence","aiReason","humanNeedsReview","reviewerDecision","notes"
"P1_EXACT_QUESTION_WRONG_ANSWER","247","q_e40235f1","Mecánica y mantenimiento","El conductor de un vehículo pesado puede hacer que el motor gire a menos revoluciones por minuto y, con ello, disminuir el consumo de carburante:","reduciendo la velocidad a la que se circule.","utilizando la relación de marchas más alta que sea posible en función de la velocida","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Very different answers (token overlap 0%). Pack answer likely wrong — PDF is authoritative source.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","249","q_517e2d98","Conducción racional","¿Cuál es una buena medida para no aumentar el consumo de carburante al conducir un automóvil?","Reducir la velocidad media a la que se circule.","Mantener el filtro del aire limpio y sustituirlo siguiendo las recomendaciones del fabricante del vehículo.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Very different answers (token overlap 0%). Pack answer likely wrong — PDF is authoritative source.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","8","q_02d207e9","Seguridad vial","¿Qué es recomendable en zonas inundadas por lluvia?","Al finalizar el cruce, es necesario comprobar el correcto funcionamiento de los frenos.","Pasar en quinta para que el vehículo no se detenga.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Very different answers (token overlap 0%). Pack answer likely wrong — PDF is authoritative source.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","9","q_bc74b1d0","Geral","¿Qué precauciones deberán tomar los conductores para evitar atropellos?","• Moderar la velocidad en la ciudad. • Estar especialmente atento a los peatones que van hablando por el móvil. • Poner atención en la salida de los garajes. • Todas las respuestas anteriores son correctas.","Moderar la velocidad en la ciudad.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is 16% the length of PDF answer — likely incomplete. PDF answer preferred.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","27","q_5786d4b3","Normativa de transportes","En caso de inmovilización por una fuerte nevada hay que:","• aparcar dejando vía libre a las máquinas quitanieves. • disponer de combustible suficiente. • orientar las ruedas en línea recta. • Todas las respuestas anteriores son correctas.","aparcar dejando vía libre a las máquinas quitanieves.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is 30% the length of PDF answer — likely incomplete. PDF answer preferred.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","29","q_2f70a853","Seguridad vial","En caso de niebla intensa, ¿cuáles son las principales medidas que deben tomarse?","• Conectar el alumbrado de cruce y el antiniebla. • Reducir la velocidad y aumentar la distancia de seguridad. • Accionar el limpiaparabrisas de vez en cuando. • Todas las respuestas anteriores son verdaderas.","Todas las respuestas anteriores son verdaderas.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is 22% the length of PDF answer — likely incomplete. PDF answer preferred.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","36","q_f9e402a3","Seguridad vial","Señale la respuesta correcta respecto a la conducción con niebla.","Conectar las luces de cruce y las de antiniebla.","Es necesario disminuir la distancia de seguridad ya que así podemos aprovechar la luz del vehículo que va delante.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","LOW","Question asks to select from a list — pack may have had different option set. Cannot assume PDF answer maps to same option.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","60","q_d744e90e","Mecánica y mantenimiento","¿En qué momento las ruedas no son capaces de desalojar el agua que se acumula delante de ellas?","Cuando la velocidad de circulación es mayor a la de evacuación de agua.","Cuando los neumáticos tienen su dibujo.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Very different answers (token overlap 11%). Pack answer likely wrong — PDF is authoritative source.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","61","q_e67c951b","Geral","¿Cómo se puede deshacer la posible escarcha acumulada en los vidrios del vehículo?","Con alcohol","Con zumos naturales.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","67","q_dad69252","Geral","¿Qué debe hacerse en el caso que se aparque el vehículo en una zona con riesgo de nevadas?","Levantar los limpiaparabrisas.","Utilizarse el freno de mano.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","68","q_c7f98b18","Seguridad vial","¿Por qué se tiene que lavar el vehículo cuando se ha circulado mucho sobre nieve?","Por el efecto corrosivo de la sal, que se utiliza en las carreteras, en la carrocería.","Por el efecto corrosivo de la nieve .","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 33%). PDF answer is more complete/official — review to confirm.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","78","q_321bc30c","Seguridad vial","¿Cuáles son las principales medidas que debemos adoptar en caso de viento fuerte?","• Minorar la velocidad. • Sujetar firmemente el volante. • Extremar la precaución en los pasos de zonas protegidas a desprotegidas. • Todas las respuestas anteriores son correctas.","Minorar la velocidad.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is 11% the length of PDF answer — likely incomplete. PDF answer preferred.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","99","q_61759f3d","Seguridad vial","¿En qué nivel de circulación se encuentra una vía si, para circular por ella, debe extremarse la precaución y la atención?","Amarillo.","Rojo.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer only 4 chars — appears incomplete. PDF answer is authoritative.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","100","q_6387ae2a","Seguridad vial","¿En qué nivel de circulación se encuentra una vía en la que debe circularse con cadenas?","Rojo.","Negro.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","101","q_66770bff","Seguridad vial","¿En qué nivel de circulación se encuentra una vía que se considera intransitable por las circunstancias meteorológicas?","Negro.","Amarillo.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","116","q_34850c48","Geral","¿Qué acciones hay que realizar para conducir con seguridad?","• Utilizar el vehículo con la máxima atención. • Anticiparse a las acciones de los demás conductores. • Anticiparse a las acciones de los peatones. • Todas las respuestas anteriores son correctas.","Utilizar el vehículo con la máxima atención.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is 22% the length of PDF answer — likely incomplete. PDF answer preferred.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","124","q_2760112b","Seguridad vial","¿Qué riesgo para la conducción aumenta cuando aparece la nieve en la calzada?","• Menor adherencia. • Menor visibilidad. • Ocultación de las señales. • Todas las respuestas anteriores son correctas.","Menor adherencia.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is 14% the length of PDF answer — likely incomplete. PDF answer preferred.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","134","q_b6658984","Seguridad vial","¿Por qué es importante aumentar la distancia de seguridad en caso de niebla?","• Por la posibilidad de patinar. • Por no verse el espacio de delante del vehículo. • Por tener más tiempo para frenar. • Todas las respuestas anteriores son correctas.","Por la posibilidad de patinar.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is 18% the length of PDF answer — likely incomplete. PDF answer preferred.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","141","q_05c15bcc","Geral","Es una característica de la conducción defensiva:","mantener distancia de seguridad y reacción.","confiar siempre en la actuación de los demás.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","149","q_4ffac97c","Seguridad vial","Ante la posible presencia de hielo, ¿qué zonas se deben evitar?","Las zonas sombrías.","Zonas de gran arboleda.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 25%). PDF answer is more complete/official — review to confirm.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","150","q_c6fb713c","Seguridad vial","La existencia de nieve, ¿qué peligro supone para la conducción?","• Menor adherencia. • Menor visibilidad. • Ocultación de elementos de señalización básicos. • Todas las respuestas son correctas.","Menor adherencia.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is 13% the length of PDF answer — likely incomplete. PDF answer preferred.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","161","q_4f866133","Seguridad vial","¿Qué se deberá tener en cuenta respecto a la utilización del cinturón de seguridad?","Que debe llevarse correctamente abrochado, bien reglado y ajustado al cuerpo sin holgura.","Que es obligatorio para el conductor y los pasajeros de más de tres años de los asientos equipados de los vehículos destinados al transporte de personas de más de nueve plazas, incluido el conductor.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Very different answers (token overlap 0%). Pack answer likely wrong — PDF is authoritative source.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","310","q_3edb22ce","Geral","Entre los condicionantes internos de la conducción se incluye:","la percepción del riesgo.","el aprendizaje.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer only 14 chars — appears incomplete. PDF answer is authoritative.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","8","q_bc539297","Documentación","¿Cómo puede realizarse el curso de formación continua para la renovación de la tarjeta de cualificación del conductor?","En diversos períodos discontinuos, siempre que estos se impartan por una misma empresa autorizada, dentro de un mismo año natural y ninguno de ellos tenga una duración inferior a 7 horas, pudiendo dividirse en dos días consecutivos.","En un único periodo de 35 horas de duración.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is 19% the length of PDF answer — likely incomplete. PDF answer preferred.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","21","q_2e462af3","Tacógrafo y tiempos","¿Cuál de las siguientes afirmaciones es correcta respecto a cómo puede tomarse el período de descanso diario normal?","Puede ser de 11 horas consecutivas o dividido en dos períodos, el primero de los cuales deberá tener una duración ininterrumpida mínima de 3 horas y el segundo una duración ininterrumpida mínima de 9 horas.","Exclusivamente puede ser de 11 horas consecutivas.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","LOW","Question asks to select from a list — pack may have had different option set. Cannot assume PDF answer maps to same option.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","107","q_9b23cd45","Documentación","En relación con la cualificación inicial y la formación continua de los conductores, ¿en qué registro se anota la expedición del correspondiente certificado de aptitud profesional (CAP)?","En el Registro de Empresas y Actividades de Transporte.","En el Registro General del CAP.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 20%). PDF answer is more complete/official — review to confirm.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","135","q_5e55fd88","Normativa de transportes","Si un conductor conduce durante varias jornadas un vehículo no sujeto al Reglamento Comunitario 561/2006 y en una jornada posterior conduce un vehículo que sí está incluido en su ámbito de aplicación, ¿cómo deberá justificar las jornadas en las que efectuó conducciones en vehículos excluidos de su ámbito de aplicación?","Realizando entradas manuales y registrando dichas jornadas como ""otro trabajo"".","Con el certificado de actividades cumplimentado.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Very different answers (token overlap 0%). Pack answer likely wrong — PDF is authoritative source.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","268","q_ad426134","Geral","Después de tomar un período de vacaciones, ¿qué debe llevar a bordo del vehículo el conductor?","• Un certificado de actividades para poder justificar las actividades de los últimos 28 días. • Un certificado de actividades para poder justificar las actividades de los últimos 3 meses. • Un justificante de la empresa que indique las fechas. • Ninguno de los documentos anteriores.","Un certificado de actividades para poder justificar las actividades de los últimos 28 días.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is 32% the length of PDF answer — likely incomplete. PDF answer preferred.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","300","q_31706a1f","Documentación","¿Cuál es la finalidad de la formación continua para la renovación del certificado de aptitud profesional (CAP)?","Profundizar y revisar algunas de las materias impartidas en los cursos de formación inicial.","Profundizar y revisar los conocimientos adquiridos con la obtención del certificado de aptitud profesional acreditativo de la cualificación inicial.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 19%). PDF answer is more complete/official — review to confirm.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","333","q_78ba0c5b","Tacógrafo y tiempos","¿Es obligatorio que el tacógrafo analógico registre los cortes de alimentación?","Sí, en los tacógrafos analógicos que funcionan mediante señales eléctricas transmitidas eléctricamente desde el sensor de distancia y velocidad.","Sí, pero sólo en los tacógrafos analógicos que reciben la información del sensor electrónicamente.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 18%). PDF answer is more complete/official — review to confirm.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","340","q_f18b7d47","Tacógrafo y tiempos","¿De qué otra forma se llaman los punzones del tacógrafo analógico que registran los datos en los discos-diagrama?","Dispositivo marcador.","Indicador de registro.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","406","q_7fd1026c","Geral","Un vehículo que se dedica exclusivamente a transportar material de feria está:","exento del uso de tacógrafo si se trata de un transporte privado complementario y el vehículo está especialmente acondicionado para ello.","exento del uso del tacógrafo.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is 21% the length of PDF answer — likely incomplete. PDF answer preferred.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","410","q_f39d8b3e","Normativa de transportes","Un vehículo que realiza transporte privado complementario y lleva maquinaria que utiliza el conductor en el ejercicio de su profesión está:","del uso de tacógrafo siempre que no supere 7.500 kg de masa máxima autorizada, se desarrolle íntegramente en un radio de 100 km alrededor del centro de explotación de la empresa y la conducción del vehículo no sea la actividad principal del conductor.","exento del uso de tacógrafo siempre que no supere los 7.500 kg de masa máxima autorizada y no supere los 50 km de radio.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 40%). PDF answer is more complete/official — review to confirm.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","411","q_e6e0c5e3","Tacógrafo y tiempos","¿Qué vehículos están exentos del uso de tacógrafo?","Los vehículos destinados al transporte de mercancías dentro de un aeropuerto.","Los vehículo dedicados exclusivamente al servicio de alcantarillado.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Very different answers (token overlap 0%). Pack answer likely wrong — PDF is authoritative source.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","436","q_162a0eee","Documentación","¿Dónde pueden presentarse al examen los conductores que aspiren a obtener el certificado de aptitud profesional?","• Donde hayan efectuado el curso. • Donde haga la convocatoria la Administración competente de su lugar de residencia. • Donde haga la convocatoria la Administración competente del lugar donde tenga la sede su empresa. • Todas las respuestas son verdaderas.","Donde haga la convocatoria la Administración competente de su lugar de residencia.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is 32% the length of PDF answer — likely incomplete. PDF answer preferred.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","546","q_c4715a4f","Geral","En 4 horas y media de conducción, el conductor debe efectuar:","una pausa de, al menos, 15 minutos seguida de otra de, al menos, 30 minutos, intercaladas en el periodo de conducción.","una pausa de al menos 15 minutos intercalada en el periodo de conducción, seguida de otro de al menos 30 minutos al final.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","MEDIUM","Answers are similar (overlap 55%) but phrased differently. May be acceptable variant or subtle factual difference.","true","",""
