"priority","pdfIndex","packId","category","question","pdfAnswer","packAnswer","sourcePriority","recommendedAction","aiSuggestedDecision","aiConfidence","aiReason","humanNeedsReview","reviewerDecision","notes"
"P1_EXACT_QUESTION_WRONG_ANSWER","243","q_2a3ae91f","Mecánica y mantenimiento","Para reducir el número de revoluciones por minuto del motor de combustión de un automóvil y, con ello, reducir el consumo de carburante, el conductor puede:","evitar, en lo posible, la utilización de relaciones de marchas cortas.","utilizar relaciones de marchas largas.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 25%). PDF answer is more complete/official — review to confirm.","true","ACCEPT_PACK_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","36","q_f9e402a3","Seguridad vial","Señale la respuesta correcta respecto a la conducción con niebla.","Conectar las luces de cruce y las de antiniebla.","Es necesario disminuir la distancia de seguridad ya que así podemos aprovechar la luz del vehículo que va delante.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","LOW","Question asks to select from a list — pack may have had different option set. Cannot assume PDF answer maps to same option.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","61","q_e67c951b","Geral","¿Cómo se puede deshacer la posible escarcha acumulada en los vidrios del vehículo?","Con alcohol","Con zumos naturales.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","67","q_dad69252","Geral","¿Qué debe hacerse en el caso que se aparque el vehículo en una zona con riesgo de nevadas?","Levantar los limpiaparabrisas.","Utilizarse el freno de mano.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","68","q_c7f98b18","Seguridad vial","¿Por qué se tiene que lavar el vehículo cuando se ha circulado mucho sobre nieve?","Por el efecto corrosivo de la sal, que se utiliza en las carreteras, en la carrocería.","Por el efecto corrosivo de la nieve .","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 33%). PDF answer is more complete/official — review to confirm.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","100","q_6387ae2a","Seguridad vial","¿En qué nivel de circulación se encuentra una vía en la que debe circularse con cadenas?","Rojo.","Negro.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","101","q_66770bff","Seguridad vial","¿En qué nivel de circulación se encuentra una vía que se considera intransitable por las circunstancias meteorológicas?","Negro.","Amarillo.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","141","q_05c15bcc","Geral","Es una característica de la conducción defensiva:","mantener distancia de seguridad y reacción.","confiar siempre en la actuación de los demás.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","149","q_4ffac97c","Seguridad vial","Ante la posible presencia de hielo, ¿qué zonas se deben evitar?","Las zonas sombrías.","Zonas de gran arboleda.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 25%). PDF answer is more complete/official — review to confirm.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","21","q_2e462af3","Tacógrafo y tiempos","¿Cuál de las siguientes afirmaciones es correcta respecto a cómo puede tomarse el período de descanso diario normal?","Puede ser de 11 horas consecutivas o dividido en dos períodos, el primero de los cuales deberá tener una duración ininterrumpida mínima de 3 horas y el segundo una duración ininterrumpida mínima de 9 horas.","Exclusivamente puede ser de 11 horas consecutivas.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","LOW","Question asks to select from a list — pack may have had different option set. Cannot assume PDF answer maps to same option.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","107","q_9b23cd45","Documentación","En relación con la cualificación inicial y la formación continua de los conductores, ¿en qué registro se anota la expedición del correspondiente certificado de aptitud profesional (CAP)?","En el Registro de Empresas y Actividades de Transporte.","En el Registro General del CAP.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 20%). PDF answer is more complete/official — review to confirm.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","300","q_31706a1f","Documentación","¿Cuál es la finalidad de la formación continua para la renovación del certificado de aptitud profesional (CAP)?","Profundizar y revisar algunas de las materias impartidas en los cursos de formación inicial.","Profundizar y revisar los conocimientos adquiridos con la obtención del certificado de aptitud profesional acreditativo de la cualificación inicial.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 19%). PDF answer is more complete/official — review to confirm.","true","ACCEPT_PACK_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","333","q_78ba0c5b","Tacógrafo y tiempos","¿Es obligatorio que el tacógrafo analógico registre los cortes de alimentación?","Sí, en los tacógrafos analógicos que funcionan mediante señales eléctricas transmitidas eléctricamente desde el sensor de distancia y velocidad.","Sí, pero sólo en los tacógrafos analógicos que reciben la información del sensor electrónicamente.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 18%). PDF answer is more complete/official — review to confirm.","true","ACCEPT_PACK_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","340","q_f18b7d47","Tacógrafo y tiempos","¿De qué otra forma se llaman los punzones del tacógrafo analógico que registran los datos en los discos-diagrama?","Dispositivo marcador.","Indicador de registro.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","NEEDS_EXPERT",""
"P1_EXACT_QUESTION_WRONG_ANSWER","410","q_f39d8b3e","Normativa de transportes","Un vehículo que realiza transporte privado complementario y lleva maquinaria que utiliza el conductor en el ejercicio de su profesión está:","del uso de tacógrafo siempre que no supere 7.500 kg de masa máxima autorizada, se desarrolle íntegramente en un radio de 100 km alrededor del centro de explotación de la empresa y la conducción del vehículo no sea la actividad principal del conductor.","exento del uso de tacógrafo siempre que no supere los 7.500 kg de masa máxima autorizada y no supere los 50 km de radio.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 40%). PDF answer is more complete/official — review to confirm.","true","NEEDS_EXPERT",""
"P1_EXACT_QUESTION_WRONG_ANSWER","546","q_c4715a4f","Geral","En 4 horas y media de conducción, el conductor debe efectuar:","una pausa de, al menos, 15 minutos seguida de otra de, al menos, 30 minutos, intercaladas en el periodo de conducción.","una pausa de al menos 15 minutos intercalada en el periodo de conducción, seguida de otro de al menos 30 minutos al final.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","MEDIUM","Answers are similar (overlap 55%) but phrased differently. May be acceptable variant or subtle factual difference.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","87","q_95f93a4f","Seguridad vial","En el sector del transporte, ¿cuál de los siguientes accidentes de trabajo es más frecuente?","Golpes con herramientas y otros objetos.","Atropellos por vehículos y maquinaria auxiliar.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","141","q_4832fca1","Normativa de transportes","¿Cuál de las siguientes enfermedades no está reconocida como enfermedad profesional en el sector del transporte?","Parálisis facial.","Tortícolis producida por mirar al retrovisor externo con frecuencia.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","LOW","Question asks to select from a list — pack may have had different option set. Cannot assume PDF answer maps to same option.","true","NEEDS_EXPERT",""
"P1_EXACT_QUESTION_WRONG_ANSWER","227","q_a57712f8","Geral","¿Cuál es la finalidad de las actividades de prevención de riesgos laborales?","Evitar los riesgos que son evitables y evaluar los que no lo son.","Evitar las enfermedades profesionales.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 17%). PDF answer is more complete/official — review to confirm.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","239","q_39f198fc","Seguridad vial","En las estadísticas de accidentes de circulación, el índice de gravedad hace referencia:","a indicadores que comparan el número de fallecidos con el número de accidentes.","al número de fallecidos por cada 100 millones de km recorridos.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 25%). PDF answer is more complete/official — review to confirm.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","25","q_d0858ea1","Geral","Los equipos de protección individual del trabajador deberán comercializarse siempre marcados y acompañados de:","instrucciones de uso.","las pilas para su funcionamiento.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","28","q_e2cfc5ec","Salud y ergonomía","Como medida de prevención de riesgos para el conductor, es importante que el respaldo de su asiento en el vehículo:","cubra completamente la espalda.","sea muy mullido.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","49","q_592727ad","Seguridad vial","Señale la respuesta correcta respecto a los equipos de protección individual.","• Se pueden clasificar en función del riesgo que contrarrestan. • Se aplican para disminuir las lesiones del trabajador. • Se pueden clasificar en función de la parte del cuerpo que protegen. • Todas las respuestas anteriores son correctas.","Se pueden clasificar en función del riesgo que contrarrestan.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","LOW","Question asks to select from a list — pack may have had different option set. Cannot assume PDF answer maps to same option.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","70","q_11eb01a9","Seguridad vial","Señale la afirmación incorrecta con relación al puesto de conducción.","El asiento debe estar lo más separado posible, aunque haya que estirarse.","El respaldo debe contar con reposacabezas.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","LOW","Question asks to select from a list — pack may have had different option set. Cannot assume PDF answer maps to same option.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","79","q_f94140c2","Geral","¿Cuál de las siguientes conductas no es correcta para trabajar de pie?","Es conveniente trabajar mejor sobre asfalto que sobre madera pues es más rígido.","Si hay que inclinarse, se flexionarán las rodillas.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","LOW","Question asks to select from a list — pack may have had different option set. Cannot assume PDF answer maps to same option.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","84","q_60790e2c","Carga y logística","El tipo de esfuerzo requerido para el manejo de la carga del vehículo influye en el nivel de riesgo. Así, es más segura la manipulación que exija:","no realizar esfuerzos.","esfuerzos escalonados.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 33%). PDF answer is more complete/official — review to confirm.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","86","q_274927e6","Geral","¿Cómo debe ser el medio en el que se realiza la actividad laboral?","Con ausencia de ruidos.","Un espacio de trabajo amplio.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","132","q_63bda9e9","Mecánica y mantenimiento","¿Qué tipo de suelo es capaz de absorber y amortiguar parte del peso del cuerpo?","Moqueta.","Cemento.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","18","q_56f9c61e","Geral","Los mareos y los desvanecimientos pueden provenir de:","una mala alimentación.","dormir más de ocho horas.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","23","q_b648f5a1","Salud y ergonomía","Señale la respuesta correcta respecto a la toma de alcohol:","Altera y disminuye las aptitudes para la conducción.","Sirve para combatir el frío.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","LOW","Question asks to select from a list — pack may have had different option set. Cannot assume PDF answer maps to same option.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","24","q_94b61504","Salud y ergonomía","Señale la respuesta correcta respecto a los microsueños:","• Son una reacción del organismo ante el déficit de sueño. • Hacen que durante un brevísimo espacio de tiempo se pierda la conciencia respecto a la carretera. • Son los causantes de muchos accidentes que se producen en tramos rectos con salida de la vía y no tienen una explicación clara. • Todas las respuestas anteriores son correctas.","Son una defensa del organismo por no dormir.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","LOW","Question asks to select from a list — pack may have had different option set. Cannot assume PDF answer maps to same option.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","27","q_beaefa47","Salud y ergonomía","Tener el vehículo mal ventilado y estar en una postura incomoda al volante, ¿qué puede provocar?","Fatiga.","Somnolencia.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","95","q_7a4ba2f9","Geral","¿Cuáles son los efectos más comunes que produce la cocaína en la conducción?","Minusvaloración de los riesgos.","Adopción de conductas peligrosas.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","87","q_93502fa3","Carga y logística","Ante una situación como la caída de carga sobre la vía, ¿qué actuaciones deben realizarse?","• Se deberá apartar el vehículo para evitar que, junto con la carga caída, acreciente el riego provocado. • Se deberá retirar o apartar el obstáculo. • Se deberá dejar lo más limpia posible la calzada. • Todas las respuestas anteriores son correctas.","Se deberá apartar el vehículo para evitar que, junto con la carga caída, acreciente el riego provocado.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","MEDIUM","Answers are similar (overlap 52%) but phrased differently. May be acceptable variant or subtle factual difference.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","216","q_85f7108f","Primeros auxilios","En caso de que haya un motorista accidentado, ¿qué no se debe hacer?","Quitarle el casco.","Moverlo en caso de peligro de atropello.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","4","q_70e07174","Geral","En relación con la atención al cliente, ¿cuál de estas afirmaciones es correcta?","Se debe evitar interrumpir.","Mientras que se atiende al cliente, se puede uno distraer.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","LOW","Question asks to select from a list — pack may have had different option set. Cannot assume PDF answer maps to same option.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","5","q_3a8649e2","Geral","¿Cuál de estas afirmaciones es correcta?","• Son necesarias hojas de registro en el caso de tacógrafo analógico. • Es necesario papel para impresión en el tacógrafo digital. • Las respuestas A y C son correctas.","El accidente ""in itinere"" es el ocurrido en los desplazamientos de ida y vuelta al domicilio del trabajador.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","LOW","Question asks to select from a list — pack may have had different option set. Cannot assume PDF answer maps to same option.","true","NEEDS_EXPERT",""
"P1_EXACT_QUESTION_WRONG_ANSWER","140","q_b7cd6ae5","Geral","Entre las comprobaciones en el interior del vehículo está:","el buen estado de los escalones de entrada.","que el compartimento de equipajes está despejado.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","ACCEPT_PDF_ANSWER",""
"P1_EXACT_QUESTION_WRONG_ANSWER","157","q_20c51f87","Conducción racional","¿En qué parte del autobús aparecerá la expresión «Operado por:» y la identificación de la empresa que presta el servicio acompañando al distintivo de imagen corporativa de las líneas de titularidad estatal?","Bajo la luna trasera.","En las puertas delanteras.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","ACCEPT_PDF_ANSWER",""
"P3_NEAR_EXACT_WRONG_ANSWER","36","q_32a3b65c","Mecánica y mantenimiento","La zona de máxima eficiencia del motor, zona económica…","está especificada en el cuentarrevoluciones, generalmente de color verde.","consiste en conducir económicamente.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Answers are unrelated (overlap 0%) despite near-identical questions (sim=0.9815). PDF answer preferred — human review required due to question wording difference.","true","ACCEPT_PDF_ANSWER",""
"P3_NEAR_EXACT_WRONG_ANSWER","65","q_7e027283","Mecánica y mantenimiento","¿Cuál de los siguientes elementos del vehículo forma parte del retardador hidráulico?","El estátor fijo.","El calderín.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Pack answer appears incomplete (11 chars vs PDF 15 chars). PDF preferred — confirm wording difference is minor.","true","ACCEPT_PDF_ANSWER",""
"P3_NEAR_EXACT_WRONG_ANSWER","295","q_347029d1","Conducción racional","¿Cuál de estos factores afecta más al ahorro de combustible?","La elección de la relación de marchas correcta durante la circulación.","La marca del fabricante de la carrocería.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Answers are unrelated (overlap 0%) despite near-identical questions (sim=0.9831). PDF answer preferred — human review required due to question wording difference.","true","ACCEPT_PDF_ANSWER",""
"P3_NEAR_EXACT_WRONG_ANSWER","6","q_a54ebeda","Normativa de transportes","¿Cómo pueden demostrar los conductores profesionales de otros países, que efectúen transportes en España, que cumplen los requisitos de formación y cualificación exigidos por la normativa?","• Con el permiso de conducción de modelo comunitario que lleve el código armonizado correspondiente inscrito en él. • Con la tarjeta de cualificación del conductor, en la que constará el código comunitario correspondiente. • Con el certificado de conductor de terceros países previsto en el Reglamento (CE) 1072/2009, si incluye el código correspondiente. • Todas las respuestas anteriores son correctas.","Con el permiso de conducción de modelo comunitario, con el código comunitario inscrito en él.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Pack answer appears incomplete (91 chars vs PDF 395 chars). PDF preferred — confirm wording difference is minor.","true","ACCEPT_PDF_ANSWER",""
"P3_NEAR_EXACT_WRONG_ANSWER","45","q_eba7fa9c","Tacógrafo y tiempos","La descarga de datos de las tarjetas de tacógrafo de los conductores deberá hacerse, al menos:","cada 28 días con actividad registrada.","cada 31 días.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Pack answer appears incomplete (12 chars vs PDF 37 chars). PDF preferred — confirm wording difference is minor.","true","ACCEPT_PDF_ANSWER",""
"P3_NEAR_EXACT_WRONG_ANSWER","163","q_2ee8548d","Tacógrafo y tiempos","¿Cuál de los siguientes vehículos está exento del uso de tacógrafo?","Un autocar dedicado exclusivamente a la donación de sangre.","Vehículos cuya velocidad máxima no supere los 40 km/h.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Answers are unrelated (overlap 0%) despite near-identical questions (sim=0.9848). PDF answer preferred — human review required due to question wording difference.","true","ACCEPT_PDF_ANSWER",""
