"pdfNumber","pdfQuestion","pdfAnswer"
"73","El par motor de un motor de combustión…","es menor que el par en rueda."
"74","El par en rueda de un automóvil…","es mayor que el par motor."
"75","Un kilovatio de potencia equivale a…","1,36 caballos de vapor."
"76","Según la equivalencia que hay entre kilovatios y caballos de vapor, un kilovatio son…","1,36 caballos de vapor."
"77","El par motor se mide en…","newton - metro (Nm)."
"78","El par máximo de un motor es…","la máxima fuerza de giro que puede proporcionar el motor."
"79","La máxima fuerza de empuje que puede proporcionar el pistón sobre el cigüeñal es…","el par máximo."
"80","En un motor térmico, el máximo aprovechamiento de combustible se produce…","cuando el motor funciona en la zona de régimen de par máximo."
"82","Si se circula haciendo uso de la máxima potencia del motor…","aumenta el consumo de carburante."
"83","La cantidad de trabajo que puede proporcionar un motor por unidad de tiempo es…","la potencia."
"84","La cantidad de trabajo que puede proporcionar un motor por unidad de tiempo se mide en…","caballos de vapor."
"85","La cantidad de trabajo que puede proporcionar un motor por unidad de tiempo se mide en…","kilovatios."
"86","El consumo específico de un motor es…","la cantidad de combustible que necesita un motor para suministrar una determinada unidad de potencia por unidad de tiempo."
"87","A la cantidad de combustible que necesita un motor para suministrar una","determinada unidad de potencia por unidad de tiempo se le llama... consumo específico."
"88","De los que se indican, ¿qué tipo de motor es el que tiene un menor consumo específico?","El motor diésel de inyección directa."
"89","De los motores que se indican, ¿cuál es el que tiene un mayor consumo específico?","El motor de gasolina de inyección indirecta."
"90","Un motor diésel de inyección directa respecto de un motor diésel de inyección indirecta:","tiene un menor consumo específico."
"91","Un motor diésel de inyección indirecta respecto de un motor diésel de inyección directa:","tiene un mayor consumo específico."
"92","Ordene los motores de menor a mayor consumo específico.","Diésel de inyección directa, diésel de inyección indirecta, gasolina de inyección directa y gasolina de inyección indirecta."
"93","Ordene los motores de mayor a menor consumo específico.","Gasolina de inyección indirecta, gasolina de inyección directa, diésel de inyección indirecta y diésel de inyección directa."
"94","En general, los motores que utilizan el gasóleo como carburante tienen un consumo específico:","menor que los que utilizan gasolina como carburante."
"95","Un motor consume más combustible cuando…","el motor da su máxima potencia."
"96","El consumo específico de un motor, ¿indica cómo es su rendimiento?","Sí, a menor consumo específico mayor rendimiento del motor."
"97","Si un motor funciona al máximo de revoluciones…","aumenta el consumo."
"98","En un motor que funcione a un régimen medio de revoluciones respecto del mismo motor funcionando al máximo de revoluciones:","disminuye el consumo."
"99","¿Qué transformación se produce en el interior de un motor de combustión?","Energía química en energía mecánica."
"100","El máximo par motor coincide:","con un régimen medio de revoluciones del motor."
"101","Cuando un motor funciona a un régimen medio de revoluciones:","el par motor es mayor y el consumo menor."
"102","Cuando un motor funciona a un régimen medio de revoluciones en vez de a un régimen alto de revoluciones:","el par motor es mayor y el consumo menor."
"103","Para reducir el consumo de combustible, es preferible:","circular a un régimen de revoluciones que permita utilizar el mayor par motor posible."
"105","El consumo específico de un motor diésel es:","menor que el de un motor de gasolina."
"106","La potencia de un motor se puede medir en…","caballos de vapor."
"108","¿Cuál de los siguientes estilos de conducción es inadecuado para el ahorro de carburante?","Actuar sabiendo que el vehículo consume más a bajas revoluciones."
"109","¿Cuál es el concepto de ""par motor""?","Es el esfuerzo que transmite el pistón sobre el cigüeñal y, por tanto, sobre el volante de inercia."
"110","¿Cuál es el concepto de potencia de un motor?","La cantidad de trabajo que puede desarrollar un motor en la unidad de tiempo."
"111","¿Cuál es la unidad de medida más comúnmente utilizada para medir el consumo específico?","Gramos por kilovatio y hora (g/kW h)."
"112","¿Cuál es la unidad de medida más comúnmente utilizada para medir el par máximo?","Newton-metro (Nm)."
"113","¿Cuál es la unidad de medida más comúnmente utilizada para medir la potencia máxima del motor de un automóvil?","Kilovatios (kW)."
"114","¿Cuáles son los límites del régimen de revoluciones de un motor de combustión?","El régimen de ralentí y el régimen máximo correspondiente al corte de inyección."
"115","¿Cuándo es mínimo el consumo específico en un motor?","Cuando gira al par máximo a una potencia intermedia."
"116","¿Cuándo gasta más combustible un vehículo?","Cuando el motor da su máxima potencia."
"117","¿Cuándo se produce el par motor mínimo?","Al ralentí."
"118","¿De cuál de los siguientes factores no depende la demanda de potencia en las ruedas?","De la seguridad pasiva del vehículo."
"119","¿De qué hablamos al referirnos a la desmultiplicación de una caja de cambios?","A la relación entre los engranajes que conectan la velocidad de giro del motor y las ruedas."
"120","¿En cuál de las siguientes unidades se puede medir el par motor?","En kilogramos por metro (kg/m)."
"121","¿En qué unidades se mide el par motor en el Sistema Internacional de Unidades?","En Newton - metro (Nm)."
"122","¿En qué unidades se mide el par motor en el Sistema Internacional de Unidades?","En newton-metro (Nm)."
"123","¿En qué unidades se mide la potencia?","Kilovatios (kW)."
"124","¿En qué zona del cuentarrevoluciones existe un equilibrio entre la cantidad de carburante que se inyecta y la cantidad de aire que hay en el cilindro, aprovechándose en mayor medida el carburante inyectado?","En la zona intermedia del cuentarrevoluciones."
"125","¿Es adecuado conducir frecuentemente en la zona de revoluciones que dan la potencia máxima de un vehículo?","No, porque en esa zona los consumos son muy elevados."
"126","¿Es adecuado que un vehículo venga equipado con la mayor potencia posible para la carga que puede transportar?","No, porque los consumos son más elevados."
"127","¿Es el consumo específico algo característico del motor y depende solo de su diseño o depende de la forma y estilo de conducción?","Es característico del motor y solo depende de su diseño."
"128","¿Existe un mismo número de revoluciones en el motor y en las ruedas?","No, porque las revoluciones de las ruedas dependen, además de las revoluciones del motor, de la relación de transmisión seleccionada."
"129","¿Para cuál de las siguientes aplicaciones no tiene utilidad conocer las curvas de par, potencia y consumo específico?","Para mejorar la seguridad pasiva del vehículo."
"130","¿Para qué es necesario generar un par cuando el motor está al ralentí?","Para vencer los rozamientos internos del motor."
"131","Es conveniente que un conductor conozca las curvas características del motor de su vehículo…","para conocer el margen de revoluciones en que se producen los valores máximos de potencia y par."
"132","¿Qué elemento permite aprovechar al máximo la potencia del motor?","La caja de velocidades."
"133","¿Cómo varía el par motor con el número de revoluciones del motor?","Según crece el número de revoluciones, primero aumenta, alcanza su máximo y, después, disminuye."
"134","Si al coronar una pendiente el motor va agotándose, ¿qué debe hacer el conductor?","Cambiar de velocidad a otra más corta o reducida."
"135","Entre otras, ¿qué característica va a definir en el cuentarrevoluciones de un automóvil la zona económica del motor?","La potencia."
"136","Entre otras, ¿qué característica va a definir en el cuentarrevoluciones de un automóvil la zona económica del motor?","El par motor máximo."
"137","Entre otras, ¿qué característica va a definir en el cuentarrevoluciones de un automóvil la zona económica del motor?","El consumo específico."
"138","¿Qué característica no influye a la hora de determinar en el cuentarrevoluciones de un automóvil la zona de menor consumo?","El tamaño del cigüeñal."
"139","¿Qué característica no influye a la hora de determinar en el cuentarrevoluciones de un automóvil la zona de menor consumo?","El tipo de culata."
"140","¿Qué característica no influye a la hora de determinar en el cuentarrevoluciones de un automóvil la zona de menor consumo?","El tamaño del embrague."
"141","¿Qué característica no influye a la hora de determinar en el cuentarrevoluciones de un automóvil la zona de menor consumo?","La longitud del vehículo."
"142","¿Qué característica no influye a la hora de determinar en el cuentarrevoluciones de un automóvil la zona de menor consumo?","Las curvas de energía cinética."
"143","¿Qué característica no influye a la hora de determinar en el cuentarrevoluciones de un automóvil la zona de menor consumo?","La relación de compresión."
"144","¿Qué característica no influye a la hora de determinar en el cuentarrevoluciones de un automóvil la zona de menor consumo?","La carrera del pistón."
"145","¿Qué característica no influye a la hora de determinar en el cuentarrevoluciones de un automóvil la zona de menor consumo?","El calibre del pistón."
"146","¿Qué actuación es inadecuada como medida de ahorro de carburante?","Circular a un régimen alto de revoluciones."
"149","Conducir en la zona de revoluciones de mayor par motor, ¿es conveniente como medida de ahorro de carburante?","Sí, porque en esa zona el consumo es menor."
"150","¿Qué característica no influye a la hora de determinar en el cuentarrevoluciones de un automóvil la zona de menor consumo?","El octanaje del carburante."
"151","¿Qué característica no influye a la hora de determinar en el cuentarrevoluciones de un automóvil la zona de menor consumo?","El tipo de ralentizador que posea."
"152","¿Qué característica no influye a la hora de determinar en el cuentarrevoluciones de un automóvil la zona de menor consumo?","El tipo de frenos que monte: disco o tambor."
"153","¿Qué característica no influye a la hora de determinar en el cuentarrevoluciones de un automóvil la zona de menor consumo?","La distancia que exista entre el punto muerto superior y el punto muerto inferior del pistón."
"177","En un motor de combustión, el par motor, ¿está relacionado con el consumo de carburante?","Sí, en la zona de mayor par motor el consumo es menor."
"192","Si el motor de un vehículo tiene un ralentí demasiado alto, ¿influye en el consumo de carburante?","Sí, porque al girar el motor más deprisa consume más."
"202","¿Cuándo se obtiene el par motor máximo?","Cuando se inyecta la máxima cantidad de carburante que se puede quemar con el aire que hay dentro del cilindro."
"205","¿Qué es la potencia de un motor?","La cantidad de trabajo que puede desarrollar un motor en un determinado tiempo."
"222","¿Cuál es el objetivo principal del motor de un vehículo?","Transformar energía química en energía mecánica."
"223","¿Cuáles son las características que mejor describen las prestaciones de un motor?","Potencia máxima y par motor máximo."
"224","¿Dónde se mide el par motor?","En el volante de inercia del embrague."
"225","¿Qué prestación del motor se mide en el final del cigüeñal?","El par motor."
"226","¿Qué prestación del motor se mide en el volante primario del embrague?","El par motor."
"227","¿En qué condiciones se da el par motor máximo?","Plena carga del acelerador y régimen de revoluciones intermedio."
"228","La potencia de un motor relaciona…","el trabajo del motor con el tiempo."
"229","La potencia máxima del motor da lugar…","a la mayor potencia de rueda."
"230","¿Qué dato suelen dar los fabricantes sobre el consumo específico?","Litros por 100 km."
"231","¿Qué muestra la curva de par a plena carga?","El par máximo proporcionado por el motor a cada régimen de giro cuando el acelerador está pisado a fondo."
"232","¿Qué muestra la curva de par a carga parcial?","El par máximo proporcionado por el motor a cada régimen de giro en diferentes posiciones del acelerador 25 %, 50 % o 75 %."
"233","La curva de par a plena carga se obtiene…","pisando el acelerador a fondo."
"235","¿Qué muestra la curva de potencia a plena carga?","La potencia que entrega el motor a cada régimen de giro cuando el acelerador se pisa fondo."
"236","¿Qué muestra la curva de potencia a carga parcial?","La potencia proporcionada por el motor a cada régimen de giro en diferentes posiciones del acelerador 25 %, 50 % o 75 %."
"237","La curva de potencia a plena carga es…","la que muestra la potencia que entrega el motor con el acelerador pisado a fondo."
"239","¿Qué son las curvas de equiconsumo?","Las que representan consumo específico constante."
"240","¿Qué representan las curvas de equiconsumo?","Consumo especifico constante."
"241","¿Qué es la zona de polo de mínimo consumo?","Zona de menor consumo específico."
"242","¿Dónde se encuentra la zona de consumos mínimos específicos?","En la zona más baja del par motor máximo."
"243","¿Qué información dan las curvas de equiconsumo?","Zonas de consumos mínimos por potencias entregadas."
"244","¿Dónde suelen dibujarse las curvas de equiconsumo?","Sobre las curvas de par motor."
"245","¿Cómo está apretado el acelerador en la zona de consumos específicos mínimos?","Al 75 %."
"246","El régimen de consumo mínimo…","baja cuando el acelerador está menos apretado."
"247","¿A qué da lugar la potencia máxima del motor?","A la mayor potencia en rueda."
"248","¿Dónde pueden encontrarse los valores del par máximo de un vehículo?","En la documentación del vehículo."
"249","¿Dónde pueden encontrarse los valores de la potencia máxima de un vehículo?","En la documentación del vehículo."
"250","¿Quién facilita los datos de los valores máximos de la potencia de un vehículo?","El fabricante del vehículo."
"251","¿Quién facilita los datos de los valores máximos del par máximo de un vehículo?","El fabricante del vehículo. Objetivo 1.2: Conocer las características técnicas y el funcionamiento de los dispositivos de seguridad a fin de dominar el vehículo, minimizar su desgaste y prevenir las anomalías de funcionamiento."
"6","¿Cómo es conocido también el control electrónico del sistema de frenado?","Electronically controlled brake system (EBS)."
"18","Por lo general, ¿qué factor, entre otros, hay que tener en cuenta para subir una marcha?","Que la aguja del cuentarrevoluciones se encuentre en la parte alta de la zona verde del cuentarrevoluciones."
"20","¿Se puede accionar el retardador hidráulico por medio del pedal del freno?","Sí, hay casos en que sí se puede."
"36","Para conducir en una gama baja de revoluciones consumiendo poco carburante, ¿qué indicaciones hay que seguir?","La relación de arranque debe ser aquella que permita una salida suave y prácticamente sin acelerar."
"37","Para evitar que aparezca el efecto ""fading"":","se debe actuar sobre los ralentizadores de que disponga el vehículo."
"38","Para una buena utilización de la inercia del vehículo se recomienda:","reducir el número de aceleraciones realizando solo las imprescindibles."
"48","Un manejo incorrecto de la caja de velocidades:","es un factor decisivo para que el consumo aumente."
"49","Un uso adecuado de la caja de velocidades:","ayuda a conseguir que el motor gire dentro de la zona económica."
"50","Para mejorar la seguridad:","la frenada se realizará de forma suave, progresiva y siempre con la suficiente antelación ante un posible obstáculo."
"56","¿Qué se debe usar antes: los retardadores hidráulicos o el freno de servicio?","Los retardadores hidráulicos."
"58","¿En qué consiste el ""fading"" de los frenos?","En el sobrecalentamiento de los frenos."
"59","¿Por qué es importante el dispositivo ABS?","Porque mantiene el control sobre la dirección del vehículo."
"60","¿Qué permite el control de tracción ASR?","Una arrancada segura en condiciones de baja adherencia."
"63","De las siguientes opciones, ¿cuál es una ventaja propia de los retardadores?","• Ayudan a evitar el sobrecalentamiento de los frenos durante frenadas prolongadas. • Realizan una función de frenado adicional de los ejes. • Están exentos de desgaste. • Todas las respuestas son correctas."
"64","¿Cuál de los siguientes elementos son ralentizadores del sistema de frenado?","Los retardadores."
"68","¿Cuál es la función principal del ralentizador eléctrico?","Evitar el efecto ""fading""."
"69","¿Cuál es la función principal del ABS?","Evitar el bloqueo de las ruedas del vehículo, disminuyendo el riesgo al derrape."
"70","¿Cuál la función principal del BAS (asistente a la frenada de urgencia)?","Aumentar la presión de frenado durante una frenada de urgencia."
"71","¿Cuál es la función principal del ESP?","Mejorar el seguimiento de la trayectoria del vehículo."
"72","¿De dónde se consigue la energía que necesita el ralentizador eléctrico?","De la batería del vehículo."
"74","¿El retardador hidráulico es compatible con el sistema ABS de frenos?","Sí."
"75","¿En qué se basa el funcionamiento del ralentizador eléctrico?","En la creación de un campo magnético."
"76","¿Hay posibilidad de calentamiento del ralentizador eléctrico?","Sí."
"77","¿Por qué denominación es conocido el asistente a la frenada de urgencia? Brake assistance system (BAS). ¿Por qué denominación es conocido el programa electrónico de estabilidad?","Electronic stability program (ESP)."
"78","¿Por qué denominación es conocido también el control electrónico del sistema de frenado?","Electronically controlled brake system (EBS)."
"79","¿Por qué denominación es también conocido el sistema de antibloqueo de ruedas?","Antilock braking system (ABS)."
"80","¿Por qué siglas es conocido el asistente a la frenada de urgencia?","BAS."
"81","¿Por qué siglas es conocido el control electrónico del sistema de frenado?","EBS."
"82","De los siguientes elementos, ¿cuál es ralentizador del sistema de frenado?","El freno eléctrico."
"83","De los siguientes elementos, ¿cuál es ralentizador del sistema de frenado?","El freno eléctrico."
"84","De los siguientes elementos del vehículo, ¿cuál forma parte del retardador hidráulico?","El estátor fijo."
"85","De los siguientes elementos del vehículo, ¿cuál forma parte del retardador hidráulico?","El estátor fijo."
"86","Al accionar el ralentizador, se ven frenadas:","solo las ruedas motrices."
"87","Un vehículo pesado posee un ralentizador del tipo ""freno en el escape"", al accionarlo, se verán frenadas:","las ruedas motrices."
"88","Un vehículo pesado posee un ralentizador hidrodinámico, al accionarlo…","actuará sobre las ruedas motrices."
"89","Al accionar el freno eléctrico…","se reducirá la velocidad de giro del árbol de transmisión y de las ruedas motrices."
"90","El sistema de frenos ABS está formado, entre otros, por:","unos sensores situados en todas las ruedas."
"92","De los datos que se indican a continuación, ¿cuál se expresa en julios?","La energía cinética."
"93","¿Qué factor es el que más influye en la energía cinética de un vehículo en movimiento?","Su velocidad."
"94","El dispositivo electrónico llamado ESP:","es un dispositivo que controla la estabilidad del vehículo."
"95","El dispositivo electrónico de estabilidad ESP actúa reduciendo:","el riesgo de choque lateral."
"96","El dispositivo electrónico de estabilidad ESP:","mejora activamente el seguimiento de la trayectoria y la dirección por parte del vehículo."
"97","Cuando el dispositivo de estabilidad ESP actúa, lo hace reduciendo:","el riesgo de choque lateral."
"98","¿Qué tipo de ralentizador basa su funcionamiento en la energía que le confiere un aceite?","El ralentizador hidrodinámico."
"99","El freno en el escape tiene como finalidad reducir:","el uso del freno de servicio."
"100","¿Cuál es la función principal del ralentizador hidrodinámico?","Reducir el uso del freno de servicio."
"101","¿Cuál es la función principal del ralentizador eléctrico?","Reducir el uso del freno de servicio."
"102","El ralentizador eléctrico…","se utiliza para evitar el fenómeno ""fading""."
"103","Para evitar que aparezca el efecto ""fading"", al bajar pendientes descendentes, ¿qué se deberá hacer?","Hacer uso del ralentizador."
"104","El efecto ""fading""…","disminuye la capacidad de frenado."
"105","Para decidir el momento en el que se debe cambiar a una relación de marcha más alta, ¿qué es lo que se deberá comprobar?","El número de revoluciones del motor."
"106","La elección de la relación de marchas correcta durante la conducción depende, entre otras circunstancias…","de la velocidad del vehículo."
"107","La elección de la relación de marchas correcta durante la conducción depende, entre otras circunstancias, …","de las revoluciones del motor."
"108","La elección de la relación de marchas correcta durante la conducción depende, entre otras circunstancias…","del perfil de la carretera."
"109","Para pasar a marchas más altas, ¿es recomendable saltar de marchas, por ejemplo, pasar de sexta a octava?","Sí, en determinadas circunstancias."
"110","Para pasar a marchas más cortas, ¿es recomendable saltar de marchas?","Por ejemplo, pasar de octava a sexta. Sí, en determinadas circunstancias."
"111","La elección de la relación de marchas correcta durante la conducción depende, entre otras circunstancias, …","de la masa del vehículo."
"112","La elección de la relación de marchas correcta durante la conducción depende, entre otras circunstancias…","de si el vehículo circula cargado o no."
"113","La elección de la relación de marchas correcta durante la conducción depende, entre otras circunstancias…","de la desmultiplicación que ofrezca la caja de velocidades."
"114","De los factores que se indican, ¿cuál no debe tener en cuenta un conductor al seleccionar la relación de marchas adecuada?","La temperatura ambiente."
"115","Las siglas EBS hacen referencia a una mejora en el sistema de:","frenado."
"118","Al asistente de frenada de urgencia también se le llama:","BAS."
"119","Al asistente de frenada de urgencia también se le llama:","BAS."
"120","El sistema electrónico de frenada BAS…","aumenta la presión de frenado durante una frenada de urgencia."
"121","Con las siglas BAS se está haciendo referencia:","a un sistema electrónico que aumenta la presión de frenado durante una frenada de urgencia."
"122","¿Sobre qué elemento o pieza del vehículo actúa el freno eléctrico?","Sobre la transmisión."
"123","La energía cinética de un vehículo es igual al resultado de multiplicar:","la mitad de su masa por el cuadrado de su velocidad."
"124","La energía cinética de un vehículo es igual al resultado de multiplicar:","la mitad de su masa por el cuadrado de su velocidad."
"125","Si se multiplica la mitad de la masa de un vehículo por el cuadrado de su velocidad, el resultado obtenido será:","su energía cinética."
"126","¿En qué se expresa la energía cinética de un vehículo?","En julios."
"127","De los datos que se indican a continuación, ¿cuál se expresa en julios?","La energía cinética."
"128","De los datos que se indican a continuación, ¿cuál se expresa en julios?","La energía cinética."
"130","Para una buena utilización de la inercia del vehículo, es conveniente:","dejar de acelerar con suficiente antelación."
"131","¿Cómo se denomina el calentamiento excesivo de los elementos frenantes del freno de servicio?","Efecto ""fading""."
"132","El mando para el accionamiento del ralentizador, ¿puede ser accionado por medio del pedal del freno?","Sí."
"133","La utilización del ralentizador se realizará:","alternativamente con el freno de servicio para evitar la fatiga de este."
"134","¿Sobre qué elemento actúa el decelerador eléctrico o, en su caso, el decelerador hidrodinámico?","Sobre la transmisión."
"135","Al calentar los elementos frenantes del sistema de frenado por una utilización excesiva, ¿qué sucede?","Se pierde eficacia."
"136","¿Qué acción produce el sistema ABS en el sistema de frenado?","Evita el bloqueo de las ruedas."
"137","El conductor de un vehículo pesado, ¿qué tipo de sistema de frenado utilizará al bajar una pendiente pronunciada?","Primero actuará sobre el ralentizador y luego, si fuera necesario, sobre el freno de servicio."
"138","¿Sobre qué actúa el freno eléctrico o ralentizador?","Sobre el árbol de transmisión a la salida del secundario mediante un campo magnético."
"139","¿A qué se denomina el efecto ""fading"" de los frenos?","A un excesivo calentamiento y pérdida de eficacia."
"140","Si el vehículo que conduce está dotado de un sistema de frenado ABS, ¿cómo actúa durante una frenada?","Evitando que las ruedas se bloqueen, cualquiera que sea el estado de la vía."
"141","¿Sobre qué elemento o pieza del vehículo actúa el freno eléctrico?","Sobre la transmisión."
"142","¿Qué se consigue cuando el sistema de frenado está dotado de un mecanismo que evita el bloqueo de las ruedas?","Reducir la presión que actúa sobre los elementos frenantes de las ruedas que están a punto de bloquearse."
"143","Si al bajar un puerto de montaña conduciendo un vehículo pesado, se necesita hacer uso prolongado de los frenos, ¿qué sistema, de los que se indican, se utilizará preferentemente?","El freno eléctrico o el decelerador hidrodinámico."
"144","Los ralentizadores electromagnéticos emplean como elemento frenante:","el magnetismo originado por corrientes eléctricas."
"145","¿Qué tipo de ralentizador utiliza corrientes magnéticas para el frenado de un vehículo pesado?","El freno eléctrico."
"146","Al bajar una fuerte pendiente con un vehículo pesado:","se utilizará preferentemente el ralentizador para retener el vehículo."
"147","El sistema de frenada ABS:","regula la presión hidráulica o neumática que llega a los elementos frenantes de las ruedas."
"148","¿Qué tipo de freno actúa sobre la transmisión?","El freno eléctrico."
"149","¿Qué tipo de freno actúa sobre la transmisión?","El ralentizador hidrodinámico o retárder."
"150","¿Sobre qué elemento o pieza del vehículo actúa el freno eléctrico?","Sobre el árbol de transmisión."
"151","¿Sobre qué elemento o pieza del vehículo actúa el freno eléctrico?","Sobre el árbol de transmisión."
"152","¿Sobre qué elemento o pieza del vehículo actúa el freno eléctrico?","Sobre el árbol de transmisión."
"153","El sistema de frenado ABS…","permite mantener la direccionalidad del vehículo en una frenada brusca."
"154","El efecto ""fading"" se produce si se abusa:","del freno de servicio."
"155","¿Qué sistema de frenado actúa sobre el árbol de transmisión a la salida del eje secundario de la caja de velocidades?","El freno eléctrico."
"156","Al calentar los elementos frenantes del sistema de frenado por una utilización excesiva, ¿qué fenómeno se produce?","El fenómeno ""fading""."
"157","¿Sobre qué elemento actúa el decelerador eléctrico o, en su caso, el decelerador hidrodinámico?","Sobre la transmisión."
"158","¿Qué tipo de ralentizador actúa directamente sobre las válvulas de escape del cilindro?","El freno motor-Veb."
"161","Cuando se habla del retárder se está haciendo referencia a un ralentizador del tipo:","hidrodinámico."
"162","Cuando se habla del intárder se está haciendo referencia a un ralentizador del tipo:","hidrodinámico."
"163","¿Qué sistemas electrónicos tienen la finalidad de hacer más eficiente y segura la frenada?","• ESP y BAS. • AEBS y BAS. • EBS y BAS. • Todas son correctas."
"164","Cuando el sistema electrónico de frenado ABS entra en funcionamiento, ¿produce algún tipo de vibraciones?","Sí, en el pedal de freno."
"165","El fenómeno ""fading"" es más fácil que se produzca en:","pendientes descendentes."
"166","Los frenos ABS…","reducen la distancia de frenado en superficies mojadas, no la reducen demasiado en superficies secas y puede ser mayor en superficies con grava o nieve."
"167","El uso que se realice de la caja de velocidades de un automóvil, ¿puede influir en el consumo de carburante?","Sí."
"168","¿El número de marchas que posea una caja de velocidades permite al conductor reducir el consumo de carburante del vehículo?","Sí, a mayor número de marchas, mayor facilidad para reducir el consumo."
"169","La utilización del freno eléctrico…","evita el fenómeno ""fading""."
"170","El sistema electrónico BAS (Brake Assistance System)…","aumenta la presión de frenado durante una frenada de urgencia."
"171","¿En qué se basa el funcionamiento del ralentizador eléctrico?","En la creación de un campo magnético."
"173","De los siguientes elementos del vehículo, ¿cuál forma parte del retardador hidráulico?","El estátor fijo."
"174","¿Cuál es la función principal del ralentizador eléctrico?","Evitar el fenómeno ""fading""."
"175","¿Cuál es la función principal del ralentizador hidrodinámico?","Evitar el fenómeno ""fading""."
"176","¿Cuál es la función principal del ralentizador del tipo ""freno en el escape""?","Evitar el fenómeno ""fading""."
"177","El ralentizador hidrodinámico funciona por:","la energía de un aceite."
"178","El ABS cumple su función regulando:","la presión sobre los elementos frenantes."
"179","Al dispositivo antibloqueo de frenos también se le llama:","ABS."
"180","¿Con qué siglas se conoce al dispositivo antibloqueo de ruedas?","ABS."
"181","¿Con qué siglas se conoce al dispositivo electrónico de estabilidad?","ESP."
"182","Al dispositivo electrónico de estabilidad también se le conoce como:","ESP."
"183","El sistema antibloqueo de ruedas cumple su función:","sea cual sea el estado de la calzada."
"185","Cuando un vehículo está en movimiento posee una energía cinética que será mayor:","cuanto mayor sea su masa."
"186","Cuando un vehículo está en movimiento, posee una energía cinética que será menor:","cuanto menor sea su masa."
"187","Cuando un vehículo está en movimiento posee una energía cinética que será menor:","cuanto menor sea su masa."
"188","Cuando un vehículo está en movimiento posee una energía cinética que será mayor:","cuanto mayor sea su masa."
"189","La energía cinética que posee un vehículo en movimiento depende de:","su velocidad y su masa."
"190","La energía cinética que posee un vehículo en movimiento depende de:","su velocidad y su masa."
"191","La energía cinética que posee un vehículo en movimiento depende de:","su masa y su velocidad."
"192","De los factores que se indican, ¿cuál influye en la energía cinética que posee un vehículo en movimiento?","Su masa."
"193","De los factores que se indican, ¿cuál influye en la energía cinética que posee un vehículo en movimiento?","Su velocidad."
