"pdfNumber","pdfQuestion","similarity","packId","packQuestion","pdfAnswer","packAnswer","conflictType","conflictReason"
"191","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","1","q_1716b834","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","Un mayor consumo.","Una menor cantidad de carburante inyectado.","WRONG_MATCH_VARIANT","packId_shared_by_5_pdf_questions"
"195","El número de revoluciones por minuto del motor, ¿influye en el consumo de carburante?","1","q_2423d266","El número de revoluciones por minuto del motor, ¿influye en el consumo de carburante?","Sí, porque cuanto más deprisa gire el motor mayor será su consumo.","Sí, porque a menor número de revoluciones por minuto el consumo es menor.","WRONG_MATCH_VARIANT","packId_shared_by_3_pdf_questions"
"196","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","1","q_df4189f3","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, reduciendo el número de revoluciones por minuto del motor.","Sí, por ejemplo, realizando el mantenimiento aconsejado por el fabricante del vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_7_pdf_questions"
"213","¿Por qué el par en rueda es siempre mayor que el par motor?","1","q_a57de9da","¿Por qué el par en rueda es siempre mayor que el par motor?","Porque la caja de velocidades y el grupo cónico se encargan de multiplicarlo.","Porque la diferencia entre el número de dientes del piñón de ataque y de la corona dentada produce una desmultiplicación constante de las revoluciones del eje secundario, comprendida entre 3/1 a 6/1.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.27"
"220","La potencia de un motor…","0.9583","q_d86d0947","La potencia de un motor:","aumenta al aumentar las revoluciones por minuto del motor.","es máxima a un régimen próximo al máximo de revoluciones.","WRONG_MATCH_VARIANT","packId_shared_by_3_pdf_questions"
"12","¿Qué actuación es correcta para optimizar el consumo de carburante?","1","q_3f2ecd67","¿Qué actuación es correcta para optimizar el consumo de carburante?","Hacer un buen uso de los diferentes sistemas de freno, del motor y de la caja de velocidades, dependiendo de cada situación.","Hacer un buen uso de los diferentes sistemas de freno, únicamente.","PACK_ANSWER_TRUNCATED","pack_len=64_pdf_len=121"
"13","De las siguientes indicaciones, ¿cuál es incorrecta para seleccionar una relación de marchas más alta?","1","q_27f33746","De las siguientes indicaciones, ¿cuál es incorrecta para seleccionar una relación de marchas más alta?","Utilizar la potencia máxima antes de subir la marcha.","Observar la velocidad de giro del motor.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"14","De las siguientes indicaciones, ¿cuál es incorrecta para seleccionar una relación de marchas más alta?","1","q_27f33746","De las siguientes indicaciones, ¿cuál es incorrecta para seleccionar una relación de marchas más alta?","Tener en cuenta el tipo de material empleado en el motor.","Observar la velocidad de giro del motor.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"15","De las siguientes indicaciones, ¿cuál es incorrecta para seleccionar una relación de marchas más alta?","1","q_27f33746","De las siguientes indicaciones, ¿cuál es incorrecta para seleccionar una relación de marchas más alta?","Observar el coeficiente de rozamiento del asfalto.","Observar la velocidad de giro del motor.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"16","De las siguientes indicaciones, ¿cuál es incorrecta para seleccionar una relación de marchas más alta?","1","q_27f33746","De las siguientes indicaciones, ¿cuál es incorrecta para seleccionar una relación de marchas más alta?","Pisar el pedal del freno.","Observar la velocidad de giro del motor.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"24","La eficacia del ralentizador eléctrico aumenta si aumenta…","0.9828","q_3be2b592","La eficacia del ralentizador eléctrico aumenta si aumenta:","la cantidad de electricidad suministrada por la batería.","la cantida","PACK_ANSWER_TRUNCATED","pack_len=10_pdf_len=55"
"33","El consumo de carburante…","0.96","q_425a74c8","El consumo de carburante:","aumenta con marchas cortas.","aumenta a elevado número de revoluciones.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"39","Señale la afirmación correcta.","1","q_b5e27eaa","Señale la afirmación correcta.","El ralentizador eléctrico se intercala en la transmisión del vehículo.","Un automóvil con caja de velocidades con cambio automático consume menos que con cambio manual.","WRONG_MATCH_VARIANT","packId_shared_by_15_pdf_questions"
"40","Señale la afirmación correcta.","1","q_b5e27eaa","Señale la afirmación correcta.","El ralentizador hidráulico puede actuar combinado con el freno de servicio.","Un automóvil con caja de velocidades con cambio automático consume menos que con cambio manual.","WRONG_MATCH_VARIANT","packId_shared_by_15_pdf_questions"
"41","Señale la afirmación falsa.","1","q_4e417a7f","Señale la afirmación falsa.","La eficacia del uso del motor como freno depende del ralentizador.","La distancia de frenado con los frenos de tambor es menor que con los frenos de disco.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"42","Señale la afirmación falsa.","1","q_4e417a7f","Señale la afirmación falsa.","El freno motor en el escape consiste en utilizar el motor para frenar.","La distancia de frenado con los frenos de tambor es menor que con los frenos de disco.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"43","Señale la afirmación falsa.","1","q_4e417a7f","Señale la afirmación falsa.","El efecto ""fading"" provoca que automáticamente disminuya la velocidad.","La distancia de frenado con los frenos de tambor es menor que con los frenos de disco.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"44","Señale la respuesta correcta.","1","q_49541694","Señale la respuesta correcta.","Los ralentizadores son independientes del dispositivo de frenado y disminuyen la fatiga de los frenos.","La declaración amistosa de accidente determina la responsabilidad del siniestro.","WRONG_MATCH_VARIANT","packId_shared_by_3_pdf_questions"
"45","Señale la respuesta incorrecta.","1","q_94f45699","Señale la respuesta incorrecta.","Utilizando la inercia dinámica del vehículo, el desgaste de frenos aumenta.","La declaración amistosa de accidente consigue mayores indemnizaciones.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.23"
"65","¿Cuál de los siguientes elementos del vehículo forma parte del retardador hidráulico?","0.9651","q_7e027283","¿Cuál de los siguientes elementos del vehículo no forma parte del retardador hidráulico?","El estátor fijo.","El calderín.","REAL_ANSWER_CONFLICT","q_sim=0.9651_ans_sim=0.33"
"66","¿Cuál de los siguientes elementos no es un tipo de ralentizador?","0.9516","q_189169f2","¿Cuál de los siguientes elementos es un tipo de ralentizador?","El calderín de frenado.","El freno en el escape.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"67","¿Cuál de los siguientes elementos no es un tipo de ralentizador?","0.9516","q_189169f2","¿Cuál de los siguientes elementos es un tipo de ralentizador?","El ralentizador termodinámico.","El freno en el escape.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"91","La energía que lleva asociada un vehículo en movimiento…","0.8438","q_efc765a8","La energía que lleva asociada un vehículo al estar en movimiento:","se puede aprovechar dejando de acelerar.","depende de la masa y velocida","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"116","Cuando se habla de ralentizadores se está haciendo referencia:","0.8033","q_ac6bc275","Cuando se habla del efecto ""fading"" se está haciendo referencia:","al freno eléctrico, por ejemplo.","a la pérdida de frenada por calentamiento de frenos.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"117","Cuando se habla de ralentizadores se está haciendo referencia:","0.8033","q_ac6bc275","Cuando se habla del efecto ""fading"" se está haciendo referencia:","al retárder, por ejemplo.","a la pérdida de frenada por calentamiento de frenos.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"129","La energía que lleva asociada un vehículo al estar en movimiento depende:","0.8889","q_efc765a8","La energía que lleva asociada un vehículo al estar en movimiento:","del cuadrado de su velocidad.","depende de la masa y velocida","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"159","¿Dónde se encuentra situado el ralentizador hidrodinámico del tipo ""retárder""?","1","q_45b42ef7","¿Dónde se encuentra situado el ralentizador hidrodinámico del tipo ""retárder""?","A la salida de la caja de velocidades.","En el sistema de transmisión.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.24"
"160","Existe un tipo de ralentizador llamado ""hidrodinámico"" que puede ser de dos tipos:","0.8228","q_78001f57","Existe un tipo de ralentizador llamado ""freno motor"" que puede ser dos tipos:","retárder o intárder.","freno en el escape o freno motor Veb.","NEEDS_REVIEW","q_sim=0.8228_ans_sim=0.28"
"209","El conductor de un vehículo se aproxima a una glorieta, por lo que deja de acelerar antes de llegar. ¿Es correcto su comportamiento?","1","q_10cd1283","El conductor de un vehículo se aproxima a una glorieta por lo que deja de acelerar antes de llegar. ¿Es correcto su comportamiento?","Sí, porque aprovecha la inercia del vehículo.","No, porque al dejar rodar el vehículo sin acelerar, aunque se reduce el consumo, aumentan los desgastes en la suspensión.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.25"
"210","El conductor de un vehículo se aproxima a una intersección regulada con un semáforo que se encuentra en rojo, por lo que deja de acelerar antes de llegar. ¿Es correcto su comportamiento?","1","q_bef40217","El conductor de un vehículo se aproxima a una intersección regulada con un semáforo que se encuentra en rojo por lo que deja de acelerar antes de llegar. ¿Es correcto su comportamiento?","Sí, porque aprovecha la inercia del vehículo.","No, porque al dejar rodar el vehículo sin acelerar, aunque se reduce el consumo, aumentan los desgastes en los frenos.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.25"
"213","Si la calzada está mojada y se pisa fuertemente el pedal del freno, ¿el sistema antibloqueo de frenos (ABS) evita el bloqueo de la rueda?","0.8951","q_63c249f8","Si la calzada está cubierta de nieve y se pisa fuertemente el pedal del freno, el sistema antibloqueo de frenos (ABS), ¿evita el bloqueo de la rueda?","Sí.","Sí, aunque la calzada tenga hielo.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"215","Si la calzada está cubierta de hielo y se pisa fuertemente el pedal del freno, el sistema antibloqueo de frenos (ABS), ¿evita el bloqueo de la rueda?","0.979","q_63c249f8","Si la calzada está cubierta de nieve y se pisa fuertemente el pedal del freno, el sistema antibloqueo de frenos (ABS), ¿evita el bloqueo de la rueda?","Sí.","Sí, aunque la calzada tenga hielo.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"216","Los ralentizadores evitan el fenómeno ""fading"" porque:","1","q_9435604c","Los ralentizadores evitan el fenómeno fading porque:","reducen la velocidad del vehículo sin que exista rozamiento entre las piezas del sistema de frenado de servicio.","reducen la velocida","PACK_ANSWER_TRUNCATED","pack_len=19_pdf_len=111"
"251","Para saber el momento adecuado en el que se debe cambiar de marcha, y con ello reducir el consumo de carburante, el conductor de un vehículo pesado deberá tener en cuenta:","1","q_63ac8b03","Para saber el momento adecuado en el que se debe cambiar de marcha, y con ello reducir el consumo de carburante, el conductor de un vehículo pesado deberá tener en cuenta:","la velocidad a la que circula el vehículo.","las revoluciones por minuto del motor.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"252","Para saber el momento adecuado en el que se debe cambiar de marcha, y con ello reducir el consumo de carburante, el conductor de un vehículo pesado deberá tener en cuenta:","1","q_63ac8b03","Para saber el momento adecuado en el que se debe cambiar de marcha, y con ello reducir el consumo de carburante, el conductor de un vehículo pesado deberá tener en cuenta:","el perfil de la carretera.","las revoluciones por minuto del motor.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"253","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","1","q_4bbb986e","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","observar el cuentarrevoluciones para saber en qué momento se debe cambiar de marcha.","aprovechar la inercia del vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_5_pdf_questions"
"254","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","1","q_4bbb986e","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","observar la velocidad del vehículo para decidir el momento en el que se debe cambiar de marcha.","aprovechar la inercia del vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_5_pdf_questions"
"255","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","1","q_4bbb986e","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","observar las revoluciones del motor para decidir el momento en el que se debe cambiar de marcha.","aprovechar la inercia del vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_5_pdf_questions"
"256","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","1","q_4bbb986e","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","observar el cuentarrevoluciones para saber en qué momento se debe cambiar de marcha.","aprovechar la inercia del vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_5_pdf_questions"
"258","Para ahorrar carburante, es conveniente:","1","q_4c927332","Para ahorrar carburante es conveniente:","observar el cuentarrevoluciones para saber en qué momento se debe cambiar de marcha.","saber seleccionar la relación de marchas más adecuada.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.33"
"260","Los cambios de marcha a una más alta se deben hacer de tal forma que:","1","q_a6036ec9","Los cambios de marcha a una más alta se deben hacer de tal forma que,:","tras realizar el cambio, las revoluciones del motor sean las correspondientes al inicio de la zona verde del cuentarrevoluciones.","en el momento de realizarlo, la aguja del cuentarrevoluciones se encuentre al principio de la zona verde del cuentarrevoluciones.","NEEDS_REVIEW","q_sim=1_ans_sim=0.51"
"261","En los motores de los automóviles actuales, si el vehículo circula a más de 20 km/h, el consumo es nulo:","0.9","q_7aec1cfd","En los motores de los automóviles actuales, si el vehículo circula a más de 20 km/h, para que el consumo sea nulo:","si el pedal del embrague no está pisado, no se acelera y no se pone punto muerto.","será necesario no acelerar, no pisar el pedal del embrague y tener seleccionada una relación de marchas en la caja de velocidades.","REAL_ANSWER_CONFLICT","q_sim=0.9_ans_sim=0.34"
"268","En los motores de los automóviles actuales, cuando el vehículo circula, hay engranada una velocidad en la caja de cambios, no se pisa el pedal del acelerador y se mantiene el motor embragado, el consumo será:","0.8714","q_f5b7b638","En los motores de los automóviles actuales, si el vehículo circula a más de 20 km/h, hay engranada una velocidad en la caja de cambios, no se pisa el pedal del acelerador y se mantiene el motor embragado, el consumo:","nulo.","será nulo.","NEEDS_REVIEW","q_sim=0.8714_ans_sim=0.44"
"276","Conduciendo un vehículo pesado y con el motor funcionando a la temperatura adecuada, el consumo de carburante depende, entre otros factores…","0.9928","q_46d9040e","Conduciendo un vehículo pesado y con el motor funcionando a la temperatura adecuada, el consumo de carburante depende, entre otros factores,:","de la relación de marchas seleccionada.","de la posición del pedal del acelerador.","WRONG_MATCH_VARIANT","packId_shared_by_3_pdf_questions"
"277","¿Qué factor influye en el consumo de carburante?","1","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","La relación de marchas seleccionada.","La carga transportada en el vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_9_pdf_questions"
"278","Entre otros factores, ¿de qué depende el consumo de carburante?","1","q_47b789bf","Entre otros factores, ¿de qué depende el consumo de carburante?","De la relación de marchas seleccionada.","Del número de revoluciones por minuto del motor.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"280","Dependiendo de la presión que se ejerza sobre el pedal del acelerador, el conductor de un automóvil puede:","1","q_1da617e9","Dependiendo de la presión que se ejerza sobre el pedal del acelerador, el conductor de un automóvil puede:","reducir el número de revoluciones del motor y, con ello, el consumo de carburante.","reducir el consumo de carburante.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.41"
"282","Al seleccionar la relación de marchas en la caja de velocidades de un vehículo pesado, y para consumir el mínimo carburante posible, es conveniente utilizar aquella:","0.9136","q_2a95c8a4","Al seleccionar la relación de marchas en la caja de velocidades de un vehículo pesado, y para consumir el carburante mínimo posible, es conveniente utilizar aquella:","que permita mantener la aguja del cuentarrevoluciones dentro de la zona marcada de color verde en el mismo.","con la que se obtenga la máxima potencia.","REAL_ANSWER_CONFLICT","q_sim=0.9136_ans_sim=0.23"
"283","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","1","q_df4189f3","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, teniendo en cuenta el perfil de la carretera adaptando la velocidad y la relación de marchas al mismo.","Sí, por ejemplo, realizando el mantenimiento aconsejado por el fabricante del vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_7_pdf_questions"
"284","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","1","q_df4189f3","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, seleccionando relaciones de marchas que permitan reducir las revoluciones del motor.","Sí, por ejemplo, realizando el mantenimiento aconsejado por el fabricante del vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_7_pdf_questions"
"290","¿Cómo se utiliza adecuadamente el sistema de frenado?","1","q_bb80d114","¿Cómo se utiliza adecuadamente el sistema de frenado?","Pisando el pedal de freno progresivamente.","Deteniendo el vehículo lo más rápido posible.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.27"
"295","¿Cuál de estos factores afecta más al ahorro de combustible?","0.9831","q_347029d1","¿Cuál de estos factores afectan más al ahorro de combustible?","La elección de la relación de marchas correcta durante la circulación.","La marca del fabricante de la carrocería.","REAL_ANSWER_CONFLICT","q_sim=0.9831_ans_sim=0.33"
"297","¿Cuál de las siguientes técnicas indicadas es más correcta para optimizar el consumo de carburante?","1","q_e29a6f5b","¿Cuál de las siguientes técnicas indicadas es más correcta para optimizar el consumo de carburante?","Seleccionar la mejor relación de marchas, según la velocidad a la que se circule.","Acelerar muy rápidamente para obtener una velocidad de crucero económica.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"299","El freno eléctrico…","0.9474","q_1ffdf188","El freno eléctrico:","actúa manteniendo las revoluciones de la transmisión en un régimen determinado.","evita la pérdida de frenada por calentamiento de frenos.","REAL_ANSWER_CONFLICT","q_sim=0.9474_ans_sim=0.29"
"307","¿Qué puede ocurrir si los frenos no son capaces de evacuar todo el calor que producen?","1","q_764e46c6","¿Qué puede ocurrir si los frenos no son capaces de evacuar todo el calor que producen?","Pierde capacidad de frenado.","Pierden eficacia.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.33"
"312","¿Dónde se encuentra situado el ralentizador hidrodinámico del tipo ""intárder""?","1","q_9d566615","¿Dónde se encuentra situado el ralentizador hidrodinámico del tipo ""intárder""?","En el sistema de transmisión.","En la caja de velocidades.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.32"
"1","¿A qué se deben principalmente las pérdidas energéticas que se producen en la transmisión?","1","q_04374286","¿A qué se deben principalmente las pérdidas energéticas que se producen en la transmisión?","Al rozamiento de sus elementos.","Al rozamiento.","PACK_ANSWER_TRUNCATED","pack_len=13_pdf_len=30"
"7","¿Cuál de estos factores no afecta al ahorro de combustible?","1","q_300fca5f","¿Cuál de estos factores no afecta al ahorro de combustible?","El corrector de frenada.","La válvula de carga hidráulica.","WRONG_MATCH_VARIANT","packId_shared_by_3_pdf_questions"
"8","¿Cuál de estos factores no afecta al ahorro de combustible?","1","q_300fca5f","¿Cuál de estos factores no afecta al ahorro de combustible?","El ralentizador electromagnético.","La válvula de carga hidráulica.","WRONG_MATCH_VARIANT","packId_shared_by_3_pdf_questions"
"9","¿Cuál de estos factores no afecta al ahorro de combustible?","1","q_300fca5f","¿Cuál de estos factores no afecta al ahorro de combustible?","El ecualizador.","La válvula de carga hidráulica.","WRONG_MATCH_VARIANT","packId_shared_by_3_pdf_questions"
"10","¿Cuál de las siguientes afirmaciones es falsa?","1","q_24c60192","¿Cuál de las siguientes afirmaciones es falsa?","Reducir el consumo del vehículo es ecológico, pero con ello no se ahorra dinero.","Para llegar a reducir el consumo, hemos de tener en cuenta el uso correcto del vehículo.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.34"
"17","¿Un uso correcto del vehículo puede llegar a reducir el consumo?","1","q_0c4601e6","¿Un uso correcto del vehículo puede llegar a reducir el consumo?","Sí.","Sólo en largos viajes.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.10"
"24","Cuando la presión de un neumático es inferior a la normal, ¿cuál de las siguientes respuestas es correcta?","1","q_00a18d48","Cuando la presión de un neumático es inferior a la normal, ¿cuál de las siguientes respuestas es correcta?","Se incrementa el consumo de carburante.","El vehículo gana estabilidad.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.21"
"27","El consumo de carburante…","0.96","q_425a74c8","El consumo de carburante:","aumenta con la velocidad.","aumenta a elevado número de revoluciones.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"29","El funcionamiento del motor implica un consumo de carburante que es función de las resistencias que debe vencer el vehículo. ¿Cuál de los siguientes factores no está directamente relacionado con estas resistencias?","1","q_0258eb1c","El funcionamiento del motor implica un consumo de carburante que es función de las resistencias que debe vencer el vehículo. ¿Cuál de los siguientes factores no está directamente relacionado con estas resistencias?","La energía termodinámica de los gases del escape.","La energía potencial motivada por la altura.","WRONG_MATCH_VARIANT","packId_shared_by_3_pdf_questions"
