"priority","pdfNumber","packId","packCategory","question","pdfAnswer","packAnswer","similarity"
"P1_EXACT_QUESTION_WRONG_ANSWER","307","q_764e46c6","Mecánica y mantenimiento","¿Qué puede ocurrir si los frenos no son capaces de evacuar todo el calor que producen?","Pierde capacidad de frenado.","Pierden eficacia.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","312","q_9d566615","Mecánica y mantenimiento","¿Dónde se encuentra situado el ralentizador hidrodinámico del tipo ""intárder""?","En el sistema de transmisión.","En la caja de velocidades.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","10","q_24c60192","Geral","¿Cuál de las siguientes afirmaciones es falsa?","Reducir el consumo del vehículo es ecológico, pero con ello no se ahorra dinero.","Para llegar a reducir el consumo, hemos de tener en cuenta el uso correcto del vehículo.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","17","q_0c4601e6","Geral","¿Un uso correcto del vehículo puede llegar a reducir el consumo?","Sí.","Sólo en largos viajes.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","24","q_00a18d48","Mecánica y mantenimiento","Cuando la presión de un neumático es inferior a la normal, ¿cuál de las siguientes respuestas es correcta?","Se incrementa el consumo de carburante.","El vehículo gana estabilidad.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","241","q_bd745390","Conducción racional","Para reducir el consumo de carburante de un vehículo pesado se deben conocer los factores que influyen en él. Entre estos factores se encuentra:","el perfil de la carretera, el número de revoluciones del motor y la relación de marchas seleccionada en la caja de velocidades.","el perfil de la carretera, el tipo de conducción que realice el conductor y el número de revoluciones del motor.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","243","q_2a3ae91f","Mecánica y mantenimiento","Para reducir el número de revoluciones por minuto del motor de combustión de un automóvil y, con ello, reducir el consumo de carburante, el conductor puede:","evitar, en lo posible, la utilización de relaciones de marchas cortas.","utilizar relaciones de marchas largas.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","247","q_e40235f1","Mecánica y mantenimiento","El conductor de un vehículo pesado puede hacer que el motor gire a menos revoluciones por minuto y, con ello, disminuir el consumo de carburante:","reduciendo la velocidad a la que se circule.","utilizando la relación de marchas más alta que sea posible en función de la velocida","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","249","q_517e2d98","Conducción racional","¿Cuál es una buena medida para no aumentar el consumo de carburante al conducir un automóvil?","Reducir la velocidad media a la que se circule.","Mantener el filtro del aire limpio y sustituirlo siguiendo las recomendaciones del fabricante del vehículo.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","8","q_02d207e9","Seguridad vial","¿Qué es recomendable en zonas inundadas por lluvia?","Al finalizar el cruce, es necesario comprobar el correcto funcionamiento de los frenos.","Pasar en quinta para que el vehículo no se detenga.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","9","q_bc74b1d0","Geral","¿Qué precauciones deberán tomar los conductores para evitar atropellos?","• Moderar la velocidad en la ciudad. • Estar especialmente atento a los peatones que van hablando por el móvil. • Poner atención en la salida de los garajes. • Todas las respuestas anteriores son correctas.","Moderar la velocidad en la ciudad.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","27","q_5786d4b3","Normativa de transportes","En caso de inmovilización por una fuerte nevada hay que:","• aparcar dejando vía libre a las máquinas quitanieves. • disponer de combustible suficiente. • orientar las ruedas en línea recta. • Todas las respuestas anteriores son correctas.","aparcar dejando vía libre a las máquinas quitanieves.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","29","q_2f70a853","Seguridad vial","En caso de niebla intensa, ¿cuáles son las principales medidas que deben tomarse?","• Conectar el alumbrado de cruce y el antiniebla. • Reducir la velocidad y aumentar la distancia de seguridad. • Accionar el limpiaparabrisas de vez en cuando. • Todas las respuestas anteriores son verdaderas.","Todas las respuestas anteriores son verdaderas.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","36","q_f9e402a3","Seguridad vial","Señale la respuesta correcta respecto a la conducción con niebla.","Conectar las luces de cruce y las de antiniebla.","Es necesario disminuir la distancia de seguridad ya que así podemos aprovechar la luz del vehículo que va delante.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","60","q_d744e90e","Mecánica y mantenimiento","¿En qué momento las ruedas no son capaces de desalojar el agua que se acumula delante de ellas?","Cuando la velocidad de circulación es mayor a la de evacuación de agua.","Cuando los neumáticos tienen su dibujo.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","61","q_e67c951b","Geral","¿Cómo se puede deshacer la posible escarcha acumulada en los vidrios del vehículo?","Con alcohol","Con zumos naturales.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","67","q_dad69252","Geral","¿Qué debe hacerse en el caso que se aparque el vehículo en una zona con riesgo de nevadas?","Levantar los limpiaparabrisas.","Utilizarse el freno de mano.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","68","q_c7f98b18","Seguridad vial","¿Por qué se tiene que lavar el vehículo cuando se ha circulado mucho sobre nieve?","Por el efecto corrosivo de la sal, que se utiliza en las carreteras, en la carrocería.","Por el efecto corrosivo de la nieve .","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","78","q_321bc30c","Seguridad vial","¿Cuáles son las principales medidas que debemos adoptar en caso de viento fuerte?","• Minorar la velocidad. • Sujetar firmemente el volante. • Extremar la precaución en los pasos de zonas protegidas a desprotegidas. • Todas las respuestas anteriores son correctas.","Minorar la velocidad.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","99","q_61759f3d","Seguridad vial","¿En qué nivel de circulación se encuentra una vía si, para circular por ella, debe extremarse la precaución y la atención?","Amarillo.","Rojo.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","100","q_6387ae2a","Seguridad vial","¿En qué nivel de circulación se encuentra una vía en la que debe circularse con cadenas?","Rojo.","Negro.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","101","q_66770bff","Seguridad vial","¿En qué nivel de circulación se encuentra una vía que se considera intransitable por las circunstancias meteorológicas?","Negro.","Amarillo.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","116","q_34850c48","Geral","¿Qué acciones hay que realizar para conducir con seguridad?","• Utilizar el vehículo con la máxima atención. • Anticiparse a las acciones de los demás conductores. • Anticiparse a las acciones de los peatones. • Todas las respuestas anteriores son correctas.","Utilizar el vehículo con la máxima atención.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","124","q_2760112b","Seguridad vial","¿Qué riesgo para la conducción aumenta cuando aparece la nieve en la calzada?","• Menor adherencia. • Menor visibilidad. • Ocultación de las señales. • Todas las respuestas anteriores son correctas.","Menor adherencia.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","134","q_b6658984","Seguridad vial","¿Por qué es importante aumentar la distancia de seguridad en caso de niebla?","• Por la posibilidad de patinar. • Por no verse el espacio de delante del vehículo. • Por tener más tiempo para frenar. • Todas las respuestas anteriores son correctas.","Por la posibilidad de patinar.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","141","q_05c15bcc","Geral","Es una característica de la conducción defensiva:","mantener distancia de seguridad y reacción.","confiar siempre en la actuación de los demás.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","149","q_4ffac97c","Seguridad vial","Ante la posible presencia de hielo, ¿qué zonas se deben evitar?","Las zonas sombrías.","Zonas de gran arboleda.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","150","q_c6fb713c","Seguridad vial","La existencia de nieve, ¿qué peligro supone para la conducción?","• Menor adherencia. • Menor visibilidad. • Ocultación de elementos de señalización básicos. • Todas las respuestas son correctas.","Menor adherencia.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","161","q_4f866133","Seguridad vial","¿Qué se deberá tener en cuenta respecto a la utilización del cinturón de seguridad?","Que debe llevarse correctamente abrochado, bien reglado y ajustado al cuerpo sin holgura.","Que es obligatorio para el conductor y los pasajeros de más de tres años de los asientos equipados de los vehículos destinados al transporte de personas de más de nueve plazas, incluido el conductor.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","310","q_3edb22ce","Geral","Entre los condicionantes internos de la conducción se incluye:","la percepción del riesgo.","el aprendizaje.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","8","q_bc539297","Documentación","¿Cómo puede realizarse el curso de formación continua para la renovación de la tarjeta de cualificación del conductor?","En diversos períodos discontinuos, siempre que estos se impartan por una misma empresa autorizada, dentro de un mismo año natural y ninguno de ellos tenga una duración inferior a 7 horas, pudiendo dividirse en dos días consecutivos.","En un único periodo de 35 horas de duración.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","21","q_2e462af3","Tacógrafo y tiempos","¿Cuál de las siguientes afirmaciones es correcta respecto a cómo puede tomarse el período de descanso diario normal?","Puede ser de 11 horas consecutivas o dividido en dos períodos, el primero de los cuales deberá tener una duración ininterrumpida mínima de 3 horas y el segundo una duración ininterrumpida mínima de 9 horas.","Exclusivamente puede ser de 11 horas consecutivas.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","107","q_9b23cd45","Documentación","En relación con la cualificación inicial y la formación continua de los conductores, ¿en qué registro se anota la expedición del correspondiente certificado de aptitud profesional (CAP)?","En el Registro de Empresas y Actividades de Transporte.","En el Registro General del CAP.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","135","q_5e55fd88","Normativa de transportes","Si un conductor conduce durante varias jornadas un vehículo no sujeto al Reglamento Comunitario 561/2006 y en una jornada posterior conduce un vehículo que sí está incluido en su ámbito de aplicación, ¿cómo deberá justificar las jornadas en las que efectuó conducciones en vehículos excluidos de su ámbito de aplicación?","Realizando entradas manuales y registrando dichas jornadas como ""otro trabajo"".","Con el certificado de actividades cumplimentado.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","268","q_ad426134","Geral","Después de tomar un período de vacaciones, ¿qué debe llevar a bordo del vehículo el conductor?","• Un certificado de actividades para poder justificar las actividades de los últimos 28 días. • Un certificado de actividades para poder justificar las actividades de los últimos 3 meses. • Un justificante de la empresa que indique las fechas. • Ninguno de los documentos anteriores.","Un certificado de actividades para poder justificar las actividades de los últimos 28 días.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","300","q_31706a1f","Documentación","¿Cuál es la finalidad de la formación continua para la renovación del certificado de aptitud profesional (CAP)?","Profundizar y revisar algunas de las materias impartidas en los cursos de formación inicial.","Profundizar y revisar los conocimientos adquiridos con la obtención del certificado de aptitud profesional acreditativo de la cualificación inicial.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","333","q_78ba0c5b","Tacógrafo y tiempos","¿Es obligatorio que el tacógrafo analógico registre los cortes de alimentación?","Sí, en los tacógrafos analógicos que funcionan mediante señales eléctricas transmitidas eléctricamente desde el sensor de distancia y velocidad.","Sí, pero sólo en los tacógrafos analógicos que reciben la información del sensor electrónicamente.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","340","q_f18b7d47","Tacógrafo y tiempos","¿De qué otra forma se llaman los punzones del tacógrafo analógico que registran los datos en los discos-diagrama?","Dispositivo marcador.","Indicador de registro.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","406","q_7fd1026c","Geral","Un vehículo que se dedica exclusivamente a transportar material de feria está:","exento del uso de tacógrafo si se trata de un transporte privado complementario y el vehículo está especialmente acondicionado para ello.","exento del uso del tacógrafo.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","410","q_f39d8b3e","Normativa de transportes","Un vehículo que realiza transporte privado complementario y lleva maquinaria que utiliza el conductor en el ejercicio de su profesión está:","del uso de tacógrafo siempre que no supere 7.500 kg de masa máxima autorizada, se desarrolle íntegramente en un radio de 100 km alrededor del centro de explotación de la empresa y la conducción del vehículo no sea la actividad principal del conductor.","exento del uso de tacógrafo siempre que no supere los 7.500 kg de masa máxima autorizada y no supere los 50 km de radio.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","411","q_e6e0c5e3","Tacógrafo y tiempos","¿Qué vehículos están exentos del uso de tacógrafo?","Los vehículos destinados al transporte de mercancías dentro de un aeropuerto.","Los vehículo dedicados exclusivamente al servicio de alcantarillado.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","436","q_162a0eee","Documentación","¿Dónde pueden presentarse al examen los conductores que aspiren a obtener el certificado de aptitud profesional?","• Donde hayan efectuado el curso. • Donde haga la convocatoria la Administración competente de su lugar de residencia. • Donde haga la convocatoria la Administración competente del lugar donde tenga la sede su empresa. • Todas las respuestas son verdaderas.","Donde haga la convocatoria la Administración competente de su lugar de residencia.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","546","q_c4715a4f","Geral","En 4 horas y media de conducción, el conductor debe efectuar:","una pausa de, al menos, 15 minutos seguida de otra de, al menos, 30 minutos, intercaladas en el periodo de conducción.","una pausa de al menos 15 minutos intercalada en el periodo de conducción, seguida de otro de al menos 30 minutos al final.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","7","q_3dfa148d","Geral","¿Qué podemos decir de las lesiones traumáticas?","• Que tienen un origen violento. • Que tienen como protagonista principal un elemento externo. • Que los conductores profesionales están expuestos a ellas. • Todas las respuestas anteriores son correctas.","Que tienen un origen violento.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","8","q_a8bdcb29","Seguridad vial","¿Qué se incluye en la categoría de accidentes de trabajo?","• Los accidentes laborales. • Los accidentes ""in itinere"". • Las enfermedades padecidas con anterioridad al accidente que se agraven como consecuencia del mismo. • Todas las respuestas anteriores son correctas.","Los accidentes laborales.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","9","q_c4005807","Salud y ergonomía","¿Qué son enfermedades profesionales?","• Aquellas que presentan relación con una determinada rama de actividad. • Aquellas que tienen un nivel alto de ocurrencia entre los trabajadores de una rama de actividad. • Las respuestas A y C son correctas.","Aquellas que presentan relación con una determinada rama de actividad.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","10","q_99ecdb0f","Geral","¿Qué son lesiones traumáticas?","• Las de origen violento. • Las que aparece como protagonista principal un elemento externo. • Las respuestas B y C son correctas.","Las de origen no violento.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","12","q_cd4a9d06","Seguridad vial","Entre los tipos de accidente laboral que tienen los trabajadores de empresas de transporte, ¿cuáles son los que con más frecuencia tienen consecuencias mortales?","• Los atropellos. • Las caídas de personas a diferente nivel. • Las respuestas A y C son correctas.","Los atropellos.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","14","q_902fd886","Geral","Es un elemento imprescindible de un sistema de prevención:","• la formación de los trabajadores sobre los riesgos que conlleva su tarea. • la información de los trabajadores sobre los riesgos que conlleva su tarea. • Las respuestas A y B son correctas.","la formación de los trabajadores sobre los riesgos que conlleva su tarea.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","15","q_698a97a1","Geral","La caída de los objetos al manipularlos puede venir derivada de:","un apilamiento incorrecto.","una carga adecuada de la maquinaria que efectúa la manipulación.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","19","q_16350c72","Normativa de transportes","Las actividades de prevención de riesgos laborales son una obligación para:","• los trabajadores. • los empresarios. • Las respuestas A y B son correctas.","los trabajadores.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","23","q_5ff20896","Mecánica y mantenimiento","Las causas de los incendios en los vehículos suelen estar relacionadas con:","• circuitos eléctricos de los vehículos en mal estado. • fugas de combustible. • calentamiento del motor. • Todas las respuestas anteriores son correctas.","circuitos eléctricos de los vehículos en mal estado.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","24","q_5a96f3a6","Normativa de transportes","Las empresas de transporte, al tomar medidas preventivas adecuadas, producen una serie de efectos positivos adicionales. ¿Cuál es uno de ellos?","• Mayor motivación de los trabajadores. • Mejores relaciones laborales. • Incremento de la satisfacción en el puesto de trabajo. • Todas las respuestas anteriores son correctas.","Mayor motivación de los trabajadores.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","31","q_5fc69cc5","Geral","Los movimientos rutinarios y repetidos de subir o bajar del vehículo:","• se pueden convertir en motivo de lesiones. • se pueden convertir en motivo de accidentes. • Las respuestas A y B son correctas.","se pueden convertir en motivo de lesiones.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","34","q_b0471c79","Seguridad vial","En las estadísticas de accidentes de tráfico, el índice de mortalidad hace referencia al número:","de fallecidos respecto del número de kilómetros recorridos.","de accidentes con víctimas por cada 100 millones de km recorridos.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","42","q_7a785f08","Normativa de transportes","Para que una dolencia sea considerada enfermedad profesional:","• debe estar expresamente reconocida como tal por las autoridades sanitarias. • debe aparecer incluida en el cuadro que aprueban las autoridades sanitarias a tales efectos. • Las respuestas A y B son correctas.","debe estar expresamente reconocida como tal por las autoridades sanitarias.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","46","q_18ffe40d","Geral","Una finalidad de las actividades de prevención de riesgos laborales es:","• detectar y evaluar los riesgos que no son evitables. • evitar los riesgos evitables. • Las respuestas B y C son correctas.","evitar los riesgos que son inevitables.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","87","q_95f93a4f","Seguridad vial","En el sector del transporte, ¿cuál de los siguientes accidentes de trabajo es más frecuente?","Golpes con herramientas y otros objetos.","Atropellos por vehículos y maquinaria auxiliar.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","127","q_1e75018b","Seguridad vial","Se puede considerar como accidentes de trabajo con forma no traumática a:","• las enfermedades cardiovasculares. • las enfermedades cerebrovasculares. • los derrames cerebrales. • Todas las respuestas anteriores son correctas.","las enfermedades cardiovasculares.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","141","q_4832fca1","Normativa de transportes","¿Cuál de las siguientes enfermedades no está reconocida como enfermedad profesional en el sector del transporte?","Parálisis facial.","Tortícolis producida por mirar al retrovisor externo con frecuencia.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","159","q_ab596b3c","Geral","¿Cuáles son los principales riesgos asociados a la actividad de transporte?","Accidentes en operaciones de carga y descarga y de mantenimiento de los vehículos.","Los accidentes derivados del transporte de mercancías perecederas.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","162","q_e541d179","Seguridad vial","¿Cuál de los siguientes es un accidente laboral que afecta a los trabajadores de empresas de transporte?","• Sobreesfuerzos. • Caída de personas al mismo nivel. • Exposición continuada a vibraciones. • Todas las respuestas anteriores son correctas.","Sobreesfuerzos.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","163","q_20905ed9","Normativa de transportes","¿Cuál es una enfermedad profesional reconocida en el sector transporte?","• Sordera provocada por el ruido. • Enfermedades osteoarticulares por vibraciones mecánicas. • Las respuestas A y B son correctas.","Sordera provocada por el ruido.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","171","q_5b0ac493","Seguridad vial","¿Cuál puede ser la causa de un accidente producido por una descarga eléctrica?","• Cables y enchufes defectuosos. • Contacto de la carga del vehículo con tendidos eléctricos. • Las respuestas A y C son correctas.","Cables y enchufes defectuosos.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","176","q_006b2ec9","Salud y ergonomía","¿Qué conductas pueden dar lugar a problemas de salud?","• Mantenimiento continuado de posturas sedentarias y forzadas. • Alteraciones de los ritmos de la digestión. • Alteraciones de los ritmos del sueño. • Todas las respuestas anteriores son correctas.","Mantenimiento continuado de posturas sedentarias y forzadas.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","177","q_ebb8c740","Seguridad vial","Si no hay colisión, ¿cuándo se considera implicado un vehículo en un accidente de circulación?","• Cuando, como consecuencia del accidente, ha resultado muerto o herido el conductor. • Cuando ha estado parado de forma peligrosa, de modo que ha constituido uno de los factores del accidente. • Cuando el comportamiento del conductor es uno de los factores que ha provocado el accidente. • Todas las respuestas anteriores son correctas.","Cuando, como consecuencia del accidente, ha resultado muerto o herido el conductor.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","227","q_a57712f8","Geral","¿Cuál es la finalidad de las actividades de prevención de riesgos laborales?","Evitar los riesgos que son evitables y evaluar los que no lo son.","Evitar las enfermedades profesionales.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","236","q_7dd49541","Salud y ergonomía","¿Qué factores pueden producir estrés en el conductor profesional?","La necesidad de cumplir los horarios preestablecidos.","Cumplir los tiempos de conducción y descanso.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","239","q_39f198fc","Seguridad vial","En las estadísticas de accidentes de circulación, el índice de gravedad hace referencia:","a indicadores que comparan el número de fallecidos con el número de accidentes.","al número de fallecidos por cada 100 millones de km recorridos.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","3","q_915b1413","Carga y logística","¿Con qué se pueden mecanizar los procesos de manipulación de cargas?","• Paletización de bultos. • Carretillas elevadoras. • Cintas de transporte. • Todas las respuestas anteriores son correctas.","Paletización de bultos.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","9","q_673252a5","Geral","¿Qué debe tener la cabina de conducción de un vehículo?","Reducción al máximo posible de los ruidos procedentes del propio vehículo y del tráfico en general.","Un buen sistema de calefacción, pero no de aire acondicionado.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","14","q_b1993b34","Conducción racional","¿Qué se debe evitar colocar en el espacio de conducción?","• Adornos colgados del espejo retrovisor. • Pegatinas en los cristales. • Las respuestas A y B son correctas.","Adornos colgados del espejo retrovisor.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","21","q_115e5104","Salud y ergonomía","La Ergonomía proporciona recomendaciones respecto de los diferentes aspectos del trabajo. ¿Cuál es una de esas recomendaciones?","• Posturas. • Movimientos y esfuerzos. • Las respuestas A y C son correctas.","Posturas.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","22","q_879f162b","Salud y ergonomía","La postura correcta para manipular una carga debe incluir:","tener el bulto tan cerca del cuerpo como sea posible.","mantener las rodillas rígidas.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","25","q_d0858ea1","Geral","Los equipos de protección individual del trabajador deberán comercializarse siempre marcados y acompañados de:","instrucciones de uso.","las pilas para su funcionamiento.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","28","q_e2cfc5ec","Salud y ergonomía","Como medida de prevención de riesgos para el conductor, es importante que el respaldo de su asiento en el vehículo:","cubra completamente la espalda.","sea muy mullido.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","35","q_bc7652d0","Geral","El espacio y los medios de trabajo deben ser concebidos teniendo en cuenta:","• la altura a la que se realiza el trabajo. • el asiento en el que se realiza el trabajo. • las medidas del cuerpo humano. • Todas las respuestas anteriores son correctas.","la altura a la que se realiza el trabajo.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","42","q_8ba1126f","Geral","En el puesto de conducción, es importante tener en cuenta:","• la reducción al máximo de los ruidos en el vehículo. • conseguir una temperatura ideal dentro del vehículo. • conseguir una visibilidad plena de la carretera, de los espejos retrovisores y de los instrumentos indicadores. • Todas las respuestas anteriores son correctas.","la reducción al máximo de los ruidos en el vehículo.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","43","q_9900faa1","Geral","En el puesto de conducción, la temperatura es un factor a tener en cuenta:","En todo momento, es necesario mantener una temperatura ideal.","sólo en verano.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","48","q_1051bb53","Salud y ergonomía","Según la Ergonomía, en el lugar de trabajo debe cuidarse:","• la temperatura. • la iluminación. • la renovación del aire. • Todas las respuestas anteriores son correctas.","la temperatura.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","49","q_592727ad","Seguridad vial","Señale la respuesta correcta respecto a los equipos de protección individual.","• Se pueden clasificar en función del riesgo que contrarrestan. • Se aplican para disminuir las lesiones del trabajador. • Se pueden clasificar en función de la parte del cuerpo que protegen. • Todas las respuestas anteriores son correctas.","Se pueden clasificar en función del riesgo que contrarrestan.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","51","q_4f9f742f","Geral","Son equipos de protección individual de las vías respiratorias:","• los equipos aislantes de aire libre. • los equipos de submarinismo. • los equipos respiratorios con máscara amovible para soldadura. • Todas las respuestas anteriores son correctas.","los equipos aislantes de aire libre.","1"
