"pdfNumber","pdfQuestion","pdfAnswer","packId","packQuestion","packCorrect","similarity"
"158","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","Un aumento del consumo de carburante.","q_1716b834","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","Una menor cantidad de carburante inyectado.","1"
"161","¿Qué actuación es correcta para reducir el consumo de carburante de un automóvil?","Utilizar la relación de marchas más alta posible de forma que la aguja del cuentarrevoluciones se mantenga en la zona de máxima eficiencia del motor, generalmente una zona marcada de color verde.","q_31a19c26","¿Qué actuación es correcta para reducir el consumo de carburante de un automóvil?","Dejar de acelerar con suficiente antelación dejando rodar el vehículo.","1"
"162","¿Qué actuación es inadecuada para reducir el consumo de carburante de un automóvil?","Aumentar el número de revoluciones del motor utilizando para ello una relación de marchas adecuada.","q_826c0101","¿Qué actuación es inadecuada para reducir el consumo de carburante de un automóvil?","Pisar el freno inmediatamente después de dejar de acelerar.","1"
"168","La zona de máxima eficiencia del motor, también llamada zona económica:","está especificada en el cuentarrevoluciones, generalmente de color verde.","q_0e3b7a05","La zona de máxima eficiencia del motor, también llamada zona económica,:","está situada en la parte trasera del vehículo.","1"
"170","En el cuentarrevoluciones, la zona de máxima eficiencia del motor está indicada en color:","verde.","q_45b2c308","En el cuentarrevoluciones, la zona de máxima eficiencia del motor está indicada en color:","rojo.","1"
"171","En el cuentarrevoluciones de un vehículo pesado es frecuente que exista una zona marcada de color verde, ¿qué indica?","La zona de menor consumo de carburante.","q_f656ad1b","En el cuentarrevoluciones de un vehículo pesado es frecuente que exista una zona marcada de color verde, ¿qué indica?","La zona de mayor potencia del motor.","1"
"175","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","mantener la aguja del cuentarrevoluciones del motor en la zona marcada, generalmente, de color verde.","q_4bbb986e","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","aprovechar la inercia del vehículo.","1"
"189","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué indica?","Es la zona de mejor aprovechamiento del carburante.","q_06b152b8","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué indica?","Es la zona de mayor consumo.","1"
"190","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","Un mayor consumo.","q_1716b834","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","Una menor cantidad de carburante inyectado.","1"
"191","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","Un mayor consumo.","q_1716b834","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","Una menor cantidad de carburante inyectado.","1"
"195","El número de revoluciones por minuto del motor, ¿influye en el consumo de carburante?","Sí, porque cuanto más deprisa gire el motor mayor será su consumo.","q_2423d266","El número de revoluciones por minuto del motor, ¿influye en el consumo de carburante?","Sí, porque a menor número de revoluciones por minuto el consumo es menor.","1"
"196","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, reduciendo el número de revoluciones por minuto del motor.","q_df4189f3","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, realizando el mantenimiento aconsejado por el fabricante del vehículo.","1"
"213","¿Por qué el par en rueda es siempre mayor que el par motor?","Porque la caja de velocidades y el grupo cónico se encargan de multiplicarlo.","q_a57de9da","¿Por qué el par en rueda es siempre mayor que el par motor?","Porque la diferencia entre el número de dientes del piñón de ataque y de la corona dentada produce una desmultiplicación constante de las revoluciones del eje secundario, comprendida entre 3/1 a 6/1.","1"
"220","La potencia de un motor…","aumenta al aumentar las revoluciones por minuto del motor.","q_d86d0947","La potencia de un motor:","es máxima a un régimen próximo al máximo de revoluciones.","0.9583"
"12","¿Qué actuación es correcta para optimizar el consumo de carburante?","Hacer un buen uso de los diferentes sistemas de freno, del motor y de la caja de velocidades, dependiendo de cada situación.","q_3f2ecd67","¿Qué actuación es correcta para optimizar el consumo de carburante?","Hacer un buen uso de los diferentes sistemas de freno, únicamente.","1"
"13","De las siguientes indicaciones, ¿cuál es incorrecta para seleccionar una relación de marchas más alta?","Utilizar la potencia máxima antes de subir la marcha.","q_27f33746","De las siguientes indicaciones, ¿cuál es incorrecta para seleccionar una relación de marchas más alta?","Observar la velocidad de giro del motor.","1"
"14","De las siguientes indicaciones, ¿cuál es incorrecta para seleccionar una relación de marchas más alta?","Tener en cuenta el tipo de material empleado en el motor.","q_27f33746","De las siguientes indicaciones, ¿cuál es incorrecta para seleccionar una relación de marchas más alta?","Observar la velocidad de giro del motor.","1"
"15","De las siguientes indicaciones, ¿cuál es incorrecta para seleccionar una relación de marchas más alta?","Observar el coeficiente de rozamiento del asfalto.","q_27f33746","De las siguientes indicaciones, ¿cuál es incorrecta para seleccionar una relación de marchas más alta?","Observar la velocidad de giro del motor.","1"
"16","De las siguientes indicaciones, ¿cuál es incorrecta para seleccionar una relación de marchas más alta?","Pisar el pedal del freno.","q_27f33746","De las siguientes indicaciones, ¿cuál es incorrecta para seleccionar una relación de marchas más alta?","Observar la velocidad de giro del motor.","1"
"24","La eficacia del ralentizador eléctrico aumenta si aumenta…","la cantidad de electricidad suministrada por la batería.","q_3be2b592","La eficacia del ralentizador eléctrico aumenta si aumenta:","la cantida","0.9828"
"33","El consumo de carburante…","aumenta con marchas cortas.","q_425a74c8","El consumo de carburante:","aumenta a elevado número de revoluciones.","0.96"
"39","Señale la afirmación correcta.","El ralentizador eléctrico se intercala en la transmisión del vehículo.","q_b5e27eaa","Señale la afirmación correcta.","Un automóvil con caja de velocidades con cambio automático consume menos que con cambio manual.","1"
"40","Señale la afirmación correcta.","El ralentizador hidráulico puede actuar combinado con el freno de servicio.","q_b5e27eaa","Señale la afirmación correcta.","Un automóvil con caja de velocidades con cambio automático consume menos que con cambio manual.","1"
"41","Señale la afirmación falsa.","La eficacia del uso del motor como freno depende del ralentizador.","q_4e417a7f","Señale la afirmación falsa.","La distancia de frenado con los frenos de tambor es menor que con los frenos de disco.","1"
"42","Señale la afirmación falsa.","El freno motor en el escape consiste en utilizar el motor para frenar.","q_4e417a7f","Señale la afirmación falsa.","La distancia de frenado con los frenos de tambor es menor que con los frenos de disco.","1"
"43","Señale la afirmación falsa.","El efecto ""fading"" provoca que automáticamente disminuya la velocidad.","q_4e417a7f","Señale la afirmación falsa.","La distancia de frenado con los frenos de tambor es menor que con los frenos de disco.","1"
"44","Señale la respuesta correcta.","Los ralentizadores son independientes del dispositivo de frenado y disminuyen la fatiga de los frenos.","q_49541694","Señale la respuesta correcta.","La declaración amistosa de accidente determina la responsabilidad del siniestro.","1"
"45","Señale la respuesta incorrecta.","Utilizando la inercia dinámica del vehículo, el desgaste de frenos aumenta.","q_94f45699","Señale la respuesta incorrecta.","La declaración amistosa de accidente consigue mayores indemnizaciones.","1"
"65","¿Cuál de los siguientes elementos del vehículo forma parte del retardador hidráulico?","El estátor fijo.","q_7e027283","¿Cuál de los siguientes elementos del vehículo no forma parte del retardador hidráulico?","El calderín.","0.9651"
"66","¿Cuál de los siguientes elementos no es un tipo de ralentizador?","El calderín de frenado.","q_189169f2","¿Cuál de los siguientes elementos es un tipo de ralentizador?","El freno en el escape.","0.9516"
"67","¿Cuál de los siguientes elementos no es un tipo de ralentizador?","El ralentizador termodinámico.","q_189169f2","¿Cuál de los siguientes elementos es un tipo de ralentizador?","El freno en el escape.","0.9516"
"91","La energía que lleva asociada un vehículo en movimiento…","se puede aprovechar dejando de acelerar.","q_efc765a8","La energía que lleva asociada un vehículo al estar en movimiento:","depende de la masa y velocida","0.8438"
"116","Cuando se habla de ralentizadores se está haciendo referencia:","al freno eléctrico, por ejemplo.","q_ac6bc275","Cuando se habla del efecto ""fading"" se está haciendo referencia:","a la pérdida de frenada por calentamiento de frenos.","0.8033"
"117","Cuando se habla de ralentizadores se está haciendo referencia:","al retárder, por ejemplo.","q_ac6bc275","Cuando se habla del efecto ""fading"" se está haciendo referencia:","a la pérdida de frenada por calentamiento de frenos.","0.8033"
"129","La energía que lleva asociada un vehículo al estar en movimiento depende:","del cuadrado de su velocidad.","q_efc765a8","La energía que lleva asociada un vehículo al estar en movimiento:","depende de la masa y velocida","0.8889"
"159","¿Dónde se encuentra situado el ralentizador hidrodinámico del tipo ""retárder""?","A la salida de la caja de velocidades.","q_45b42ef7","¿Dónde se encuentra situado el ralentizador hidrodinámico del tipo ""retárder""?","En el sistema de transmisión.","1"
"160","Existe un tipo de ralentizador llamado ""hidrodinámico"" que puede ser de dos tipos:","retárder o intárder.","q_78001f57","Existe un tipo de ralentizador llamado ""freno motor"" que puede ser dos tipos:","freno en el escape o freno motor Veb.","0.8228"
"209","El conductor de un vehículo se aproxima a una glorieta, por lo que deja de acelerar antes de llegar. ¿Es correcto su comportamiento?","Sí, porque aprovecha la inercia del vehículo.","q_10cd1283","El conductor de un vehículo se aproxima a una glorieta por lo que deja de acelerar antes de llegar. ¿Es correcto su comportamiento?","No, porque al dejar rodar el vehículo sin acelerar, aunque se reduce el consumo, aumentan los desgastes en la suspensión.","1"
"210","El conductor de un vehículo se aproxima a una intersección regulada con un semáforo que se encuentra en rojo, por lo que deja de acelerar antes de llegar. ¿Es correcto su comportamiento?","Sí, porque aprovecha la inercia del vehículo.","q_bef40217","El conductor de un vehículo se aproxima a una intersección regulada con un semáforo que se encuentra en rojo por lo que deja de acelerar antes de llegar. ¿Es correcto su comportamiento?","No, porque al dejar rodar el vehículo sin acelerar, aunque se reduce el consumo, aumentan los desgastes en los frenos.","1"
"213","Si la calzada está mojada y se pisa fuertemente el pedal del freno, ¿el sistema antibloqueo de frenos (ABS) evita el bloqueo de la rueda?","Sí.","q_63c249f8","Si la calzada está cubierta de nieve y se pisa fuertemente el pedal del freno, el sistema antibloqueo de frenos (ABS), ¿evita el bloqueo de la rueda?","Sí, aunque la calzada tenga hielo.","0.8951"
"215","Si la calzada está cubierta de hielo y se pisa fuertemente el pedal del freno, el sistema antibloqueo de frenos (ABS), ¿evita el bloqueo de la rueda?","Sí.","q_63c249f8","Si la calzada está cubierta de nieve y se pisa fuertemente el pedal del freno, el sistema antibloqueo de frenos (ABS), ¿evita el bloqueo de la rueda?","Sí, aunque la calzada tenga hielo.","0.979"
"216","Los ralentizadores evitan el fenómeno ""fading"" porque:","reducen la velocidad del vehículo sin que exista rozamiento entre las piezas del sistema de frenado de servicio.","q_9435604c","Los ralentizadores evitan el fenómeno fading porque:","reducen la velocida","1"
"251","Para saber el momento adecuado en el que se debe cambiar de marcha, y con ello reducir el consumo de carburante, el conductor de un vehículo pesado deberá tener en cuenta:","la velocidad a la que circula el vehículo.","q_63ac8b03","Para saber el momento adecuado en el que se debe cambiar de marcha, y con ello reducir el consumo de carburante, el conductor de un vehículo pesado deberá tener en cuenta:","las revoluciones por minuto del motor.","1"
"252","Para saber el momento adecuado en el que se debe cambiar de marcha, y con ello reducir el consumo de carburante, el conductor de un vehículo pesado deberá tener en cuenta:","el perfil de la carretera.","q_63ac8b03","Para saber el momento adecuado en el que se debe cambiar de marcha, y con ello reducir el consumo de carburante, el conductor de un vehículo pesado deberá tener en cuenta:","las revoluciones por minuto del motor.","1"
"253","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","observar el cuentarrevoluciones para saber en qué momento se debe cambiar de marcha.","q_4bbb986e","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","aprovechar la inercia del vehículo.","1"
"254","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","observar la velocidad del vehículo para decidir el momento en el que se debe cambiar de marcha.","q_4bbb986e","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","aprovechar la inercia del vehículo.","1"
"255","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","observar las revoluciones del motor para decidir el momento en el que se debe cambiar de marcha.","q_4bbb986e","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","aprovechar la inercia del vehículo.","1"
"256","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","observar el cuentarrevoluciones para saber en qué momento se debe cambiar de marcha.","q_4bbb986e","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","aprovechar la inercia del vehículo.","1"
"258","Para ahorrar carburante, es conveniente:","observar el cuentarrevoluciones para saber en qué momento se debe cambiar de marcha.","q_4c927332","Para ahorrar carburante es conveniente:","saber seleccionar la relación de marchas más adecuada.","1"
"260","Los cambios de marcha a una más alta se deben hacer de tal forma que:","tras realizar el cambio, las revoluciones del motor sean las correspondientes al inicio de la zona verde del cuentarrevoluciones.","q_a6036ec9","Los cambios de marcha a una más alta se deben hacer de tal forma que,:","en el momento de realizarlo, la aguja del cuentarrevoluciones se encuentre al principio de la zona verde del cuentarrevoluciones.","1"
"261","En los motores de los automóviles actuales, si el vehículo circula a más de 20 km/h, el consumo es nulo:","si el pedal del embrague no está pisado, no se acelera y no se pone punto muerto.","q_7aec1cfd","En los motores de los automóviles actuales, si el vehículo circula a más de 20 km/h, para que el consumo sea nulo:","será necesario no acelerar, no pisar el pedal del embrague y tener seleccionada una relación de marchas en la caja de velocidades.","0.9"
"268","En los motores de los automóviles actuales, cuando el vehículo circula, hay engranada una velocidad en la caja de cambios, no se pisa el pedal del acelerador y se mantiene el motor embragado, el consumo será:","nulo.","q_f5b7b638","En los motores de los automóviles actuales, si el vehículo circula a más de 20 km/h, hay engranada una velocidad en la caja de cambios, no se pisa el pedal del acelerador y se mantiene el motor embragado, el consumo:","será nulo.","0.8714"
"276","Conduciendo un vehículo pesado y con el motor funcionando a la temperatura adecuada, el consumo de carburante depende, entre otros factores…","de la relación de marchas seleccionada.","q_46d9040e","Conduciendo un vehículo pesado y con el motor funcionando a la temperatura adecuada, el consumo de carburante depende, entre otros factores,:","de la posición del pedal del acelerador.","0.9928"
"277","¿Qué factor influye en el consumo de carburante?","La relación de marchas seleccionada.","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","La carga transportada en el vehículo.","1"
"278","Entre otros factores, ¿de qué depende el consumo de carburante?","De la relación de marchas seleccionada.","q_47b789bf","Entre otros factores, ¿de qué depende el consumo de carburante?","Del número de revoluciones por minuto del motor.","1"
"280","Dependiendo de la presión que se ejerza sobre el pedal del acelerador, el conductor de un automóvil puede:","reducir el número de revoluciones del motor y, con ello, el consumo de carburante.","q_1da617e9","Dependiendo de la presión que se ejerza sobre el pedal del acelerador, el conductor de un automóvil puede:","reducir el consumo de carburante.","1"
"282","Al seleccionar la relación de marchas en la caja de velocidades de un vehículo pesado, y para consumir el mínimo carburante posible, es conveniente utilizar aquella:","que permita mantener la aguja del cuentarrevoluciones dentro de la zona marcada de color verde en el mismo.","q_2a95c8a4","Al seleccionar la relación de marchas en la caja de velocidades de un vehículo pesado, y para consumir el carburante mínimo posible, es conveniente utilizar aquella:","con la que se obtenga la máxima potencia.","0.9136"
"283","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, teniendo en cuenta el perfil de la carretera adaptando la velocidad y la relación de marchas al mismo.","q_df4189f3","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, realizando el mantenimiento aconsejado por el fabricante del vehículo.","1"
"284","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, seleccionando relaciones de marchas que permitan reducir las revoluciones del motor.","q_df4189f3","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, realizando el mantenimiento aconsejado por el fabricante del vehículo.","1"
"290","¿Cómo se utiliza adecuadamente el sistema de frenado?","Pisando el pedal de freno progresivamente.","q_bb80d114","¿Cómo se utiliza adecuadamente el sistema de frenado?","Deteniendo el vehículo lo más rápido posible.","1"
"295","¿Cuál de estos factores afecta más al ahorro de combustible?","La elección de la relación de marchas correcta durante la circulación.","q_347029d1","¿Cuál de estos factores afectan más al ahorro de combustible?","La marca del fabricante de la carrocería.","0.9831"
"297","¿Cuál de las siguientes técnicas indicadas es más correcta para optimizar el consumo de carburante?","Seleccionar la mejor relación de marchas, según la velocidad a la que se circule.","q_e29a6f5b","¿Cuál de las siguientes técnicas indicadas es más correcta para optimizar el consumo de carburante?","Acelerar muy rápidamente para obtener una velocidad de crucero económica.","1"
"299","El freno eléctrico…","actúa manteniendo las revoluciones de la transmisión en un régimen determinado.","q_1ffdf188","El freno eléctrico:","evita la pérdida de frenada por calentamiento de frenos.","0.9474"
"307","¿Qué puede ocurrir si los frenos no son capaces de evacuar todo el calor que producen?","Pierde capacidad de frenado.","q_764e46c6","¿Qué puede ocurrir si los frenos no son capaces de evacuar todo el calor que producen?","Pierden eficacia.","1"
"312","¿Dónde se encuentra situado el ralentizador hidrodinámico del tipo ""intárder""?","En el sistema de transmisión.","q_9d566615","¿Dónde se encuentra situado el ralentizador hidrodinámico del tipo ""intárder""?","En la caja de velocidades.","1"
"1","¿A qué se deben principalmente las pérdidas energéticas que se producen en la transmisión?","Al rozamiento de sus elementos.","q_04374286","¿A qué se deben principalmente las pérdidas energéticas que se producen en la transmisión?","Al rozamiento.","1"
"7","¿Cuál de estos factores no afecta al ahorro de combustible?","El corrector de frenada.","q_300fca5f","¿Cuál de estos factores no afecta al ahorro de combustible?","La válvula de carga hidráulica.","1"
"8","¿Cuál de estos factores no afecta al ahorro de combustible?","El ralentizador electromagnético.","q_300fca5f","¿Cuál de estos factores no afecta al ahorro de combustible?","La válvula de carga hidráulica.","1"
"9","¿Cuál de estos factores no afecta al ahorro de combustible?","El ecualizador.","q_300fca5f","¿Cuál de estos factores no afecta al ahorro de combustible?","La válvula de carga hidráulica.","1"
"10","¿Cuál de las siguientes afirmaciones es falsa?","Reducir el consumo del vehículo es ecológico, pero con ello no se ahorra dinero.","q_24c60192","¿Cuál de las siguientes afirmaciones es falsa?","Para llegar a reducir el consumo, hemos de tener en cuenta el uso correcto del vehículo.","1"
"17","¿Un uso correcto del vehículo puede llegar a reducir el consumo?","Sí.","q_0c4601e6","¿Un uso correcto del vehículo puede llegar a reducir el consumo?","Sólo en largos viajes.","1"
"24","Cuando la presión de un neumático es inferior a la normal, ¿cuál de las siguientes respuestas es correcta?","Se incrementa el consumo de carburante.","q_00a18d48","Cuando la presión de un neumático es inferior a la normal, ¿cuál de las siguientes respuestas es correcta?","El vehículo gana estabilidad.","1"
"27","El consumo de carburante…","aumenta con la velocidad.","q_425a74c8","El consumo de carburante:","aumenta a elevado número de revoluciones.","0.96"
"29","El funcionamiento del motor implica un consumo de carburante que es función de las resistencias que debe vencer el vehículo. ¿Cuál de los siguientes factores no está directamente relacionado con estas resistencias?","La energía termodinámica de los gases del escape.","q_0258eb1c","El funcionamiento del motor implica un consumo de carburante que es función de las resistencias que debe vencer el vehículo. ¿Cuál de los siguientes factores no está directamente relacionado con estas resistencias?","La energía potencial motivada por la altura.","1"
"30","El funcionamiento del motor implica un consumo de carburante que es función de las resistencias que debe vencer el vehículo. ¿Cuál de los siguientes factores no está directamente relacionado con estas resistencias?","El tipo de material empleado en el motor.","q_0258eb1c","El funcionamiento del motor implica un consumo de carburante que es función de las resistencias que debe vencer el vehículo. ¿Cuál de los siguientes factores no está directamente relacionado con estas resistencias?","La energía potencial motivada por la altura.","1"
"31","El funcionamiento del motor implica un consumo de carburante que es función de las resistencias que debe vencer el vehículo. ¿Cuál de los siguientes factores no está directamente relacionado con estas resistencias?","El color del material empleado en el motor.","q_0258eb1c","El funcionamiento del motor implica un consumo de carburante que es función de las resistencias que debe vencer el vehículo. ¿Cuál de los siguientes factores no está directamente relacionado con estas resistencias?","La energía potencial motivada por la altura.","1"
"42","Señale la afirmación falsa.","menor presión de inflado de los neumáticos, menor consumo de carburante.","q_4e417a7f","Señale la afirmación falsa.","La distancia de frenado con los frenos de tambor es menor que con los frenos de disco.","1"
"43","Señale la respuesta correcta.","El cambio del filtro del aire favorece el ahorro de carburante.","q_49541694","Señale la respuesta correcta.","La declaración amistosa de accidente determina la responsabilidad del siniestro.","1"
"44","Señale la respuesta correcta.","El cambio de aceite favorece el ahorro de carburante.","q_49541694","Señale la respuesta correcta.","La declaración amistosa de accidente determina la responsabilidad del siniestro.","1"
"58","Cuando la presión de un neumático es inferior a la establecida por el fabricante, ¿cuál de las siguientes respuestas es falsa?","Disminuye la cantidad de carburante necesaria para mover el vehículo.","q_13de4807","Cuando la presión de un neumático es superior a la establecida por el fabricante, ¿cuál de las siguientes afirmaciones es incorrecta?","Los neumáticos duran más.","0.8231"
"61","¿Cuál de las siguientes técnicas indicadas es más correcta para optimizar el consumo de carburante?","Evitar la práctica de una conducción basada en continuas aceleraciones.","q_e29a6f5b","¿Cuál de las siguientes técnicas indicadas es más correcta para optimizar el consumo de carburante?","Acelerar muy rápidamente para obtener una velocidad de crucero económica.","1"
"62","¿Cuál de las siguientes técnicas indicadas es más correcta para optimizar el consumo de carburante?","Al arrancar en frío, conducir con mucha suavidad.","q_e29a6f5b","¿Cuál de las siguientes técnicas indicadas es más correcta para optimizar el consumo de carburante?","Acelerar muy rápidamente para obtener una velocidad de crucero económica.","1"
"72","¿Qué factor no influye en el consumo de carburante de un vehículo?","El grado de concentración de anticongelante en el líquido refrigerante.","q_9c489841","¿Qué factor no influye en el consumo de carburante de un automóvil?","El octanaje del gasóleo.","0.8615"
"73","¿Qué factor no influye en el consumo de carburante de un vehículo pesado?","El tipo de ralentizador que monte el vehículo.","q_9c489841","¿Qué factor no influye en el consumo de carburante de un automóvil?","El octanaje del gasóleo.","0.8169"
"74","En el consumo de carburante de un vehículo no influye:","la situación del volante de inercia.","q_554d217d","En el consumo de carburante de un automóvil no influye:","la situación de las ruedas motrices.","0.8333"
"75","¿Qué factor no tiene influencia en el consumo de carburante?","La situación del dámper.","q_2e06ad4a","¿Qué factor no tiene influencia en el consumo de carburante?","Los elementos de seguridad pasiva que monte el vehículo.","1"
"76","¿Qué factor no influye en el consumo de carburante de un vehículo?","La capacidad de la batería.","q_9c489841","¿Qué factor no influye en el consumo de carburante de un automóvil?","El octanaje del gasóleo.","0.8615"
"77","¿Qué factor no influye en el consumo de carburante de un vehículo?","El tipo de batería: con o sin mantenimiento.","q_9c489841","¿Qué factor no influye en el consumo de carburante de un automóvil?","El octanaje del gasóleo.","0.8615"
"78","En el consumo de carburante de un automóvil no influye:","El tipo de generador de corriente.","q_554d217d","En el consumo de carburante de un automóvil no influye:","la situación de las ruedas motrices.","1"
"79","¿Qué factor no tiene influencia en el consumo de carburante?","El tipo de ventilación del cárter: abierta o cerrada.","q_2e06ad4a","¿Qué factor no tiene influencia en el consumo de carburante?","Los elementos de seguridad pasiva que monte el vehículo.","1"
"80","¿Qué factor no influye en el consumo de carburante de un vehículo?","El tipo de sistema de frenado: hidráulico o neumático.","q_9c489841","¿Qué factor no influye en el consumo de carburante de un automóvil?","El octanaje del gasóleo.","0.8615"
"82","¿Qué afecta al consumo de carburante de un vehículo?","El mantenimiento del vehículo, el tipo de conducción que realice el conductor y la relación de marchas seleccionada en la caja de velocidades.","q_7aa17e0f","¿Qué afecta al consumo de carburante de un automóvil?","El mantenimiento del vehículo, las revoluciones por minuto del motor y la aerodinámica del vehículo.","0.8235"
"83","¿Qué afecta al consumo de carburante de un vehículo?","El mantenimiento del vehículo, el tipo de conducción que realice el conductor y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","q_7aa17e0f","¿Qué afecta al consumo de carburante de un automóvil?","El mantenimiento del vehículo, las revoluciones por minuto del motor y la aerodinámica del vehículo.","0.8235"
"130","Señale la afirmación correcta.","Cuanto mayor sea el número de marchas de una caja de velocidades, menor podrá ser su consumo.","q_b5e27eaa","Señale la afirmación correcta.","Un automóvil con caja de velocidades con cambio automático consume menos que con cambio manual.","1"
"145","¿Qué influye en el consumo de carburante de un vehículo pesado?","El mantenimiento del vehículo.","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","1"
"146","¿Qué influye en el consumo de carburante de un vehículo pesado?","La presión de los neumáticos.","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","1"
"147","¿Qué influye en el consumo de carburante de un vehículo pesado?","La aerodinámica del vehículo.","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","1"
