"pdfNumber","pdfQuestion","similarity","packId","packQuestion","packCategory","answerStatus","pdfAnswer","packCorrect"
"215","Si la calzada está cubierta de hielo y se pisa fuertemente el pedal del freno, el sistema antibloqueo de frenos (ABS), ¿evita el bloqueo de la rueda?","0.979","q_63c249f8","Si la calzada está cubierta de nieve y se pisa fuertemente el pedal del freno, el sistema antibloqueo de frenos (ABS), ¿evita el bloqueo de la rueda?","Mecánica y mantenimiento","ANSWER_CONFLICT","Sí.","Sí, aunque la calzada tenga hielo."
"220","De los elementos que se citan a continuación, ¿cuál tiene como finalidad mantener las revoluciones de la transmisión en un régimen determinado sin que haya rozamientos entre piezas?","0.9722","q_c49d62c3","De los elementos que se citan a continuación, ¿cuál tiene como finalidad mantener las revoluciones de la transmisión en un régimen determinado sin que exista rozamientos entre piezas?","Mecánica y mantenimiento","ANSWER_MATCH","El freno eléctrico.","El freno eléctrico."
"221","Para reducir el consumo de carburante de un vehículo, ¿qué es conveniente?","0.875","q_afab2483","Para reducir el consumo de carburante de un automóvil, ¿qué es conveniente?","Conducción racional","ANSWER_MATCH","Reducir el número de revoluciones del motor utilizando para ello una relación de marchas adecuada.","Reducir el número de revoluciones del motor utilizando para ello una relación de marchas adecuada."
"228","En el caso de que una rueda motriz patine, se recurre a un sistema electrónico ASR. ¿Sobre qué elementos actúa este sistema?","0.916","q_9a4bd28f","En el caso de que una rueda motriz patine se recurre a un sistema electrónico de bloqueo ASR, ¿sobre qué elementos actúa este sistema?","Mecánica y mantenimiento","ANSWER_MATCH","Sobre las ruedas motrices y sobre el motor.","Sobre las ruedas motrices y sobre el motor."
"232","En el retardador hidráulico…","0.9643","q_19b26b42","En el retardador hidráulico:","Mecánica y mantenimiento","ANSWER_MATCH","se genera un rozamiento a través de la oposición que crea el movimiento de un fluido viscoso.","se genera un rozamiento a través de la oposición que crea el movimiento de un fluido viscoso."
"238","El sistema ESP…","0.9333","q_887c19da","El sistema ESP:","Geral","ANSWER_MATCH","mejora activamente el seguimiento de la trayectoria por parte del vehículo.","mejora activamente el seguimiento de la trayectoria por parte del vehículo."
"245","Si el freno de un vehículo no evacuara, el calor que generaría:","0.918","q_00c929b9","Si el freno de un vehículo no evacua el calor que genera:","Mecánica y mantenimiento","ANSWER_MATCH","podría perder eficacia e incluso dejar de funcionar.","puede perder eficacia e incluso dejar de funcionar."
"261","En los motores de los automóviles actuales, si el vehículo circula a más de 20 km/h, el consumo es nulo:","0.9","q_7aec1cfd","En los motores de los automóviles actuales, si el vehículo circula a más de 20 km/h, para que el consumo sea nulo:","Mecánica y mantenimiento","ANSWER_CONFLICT","si el pedal del embrague no está pisado, no se acelera y no se pone punto muerto.","será necesario no acelerar, no pisar el pedal del embrague y tener seleccionada una relación de marchas en la caja de velocidades."
"268","En los motores de los automóviles actuales, cuando el vehículo circula, hay engranada una velocidad en la caja de cambios, no se pisa el pedal del acelerador y se mantiene el motor embragado, el consumo será:","0.8714","q_f5b7b638","En los motores de los automóviles actuales, si el vehículo circula a más de 20 km/h, hay engranada una velocidad en la caja de cambios, no se pisa el pedal del acelerador y se mantiene el motor embragado, el consumo:","Mecánica y mantenimiento","ANSWER_CONFLICT","nulo.","será nulo."
"269","En los motores de los automóviles actuales, cuando el vehículo circula, hay engranada una velocidad en la caja de cambios, no se pisa el pedal del acelerador y se mantiene el motor embragado, el consumo:","0.8952","q_f5b7b638","En los motores de los automóviles actuales, si el vehículo circula a más de 20 km/h, hay engranada una velocidad en la caja de cambios, no se pisa el pedal del acelerador y se mantiene el motor embragado, el consumo:","Mecánica y mantenimiento","ANSWER_MATCH","será nulo.","será nulo."
"270","En los motores de los automóviles actuales, cuando el vehículo circula, no se pisa el pedal del acelerador ni del embrague y la palanca del cambio se encuentra en punto muerto:","0.8811","q_ca48e5ca","En los motores de los automóviles actuales, si el vehículo circula a más de 20 km/h, no se pisa el pedal del acelerador ni del embrague y la palanca del cambio se encuentra en punto muerto:","Mecánica y mantenimiento","ANSWER_MATCH","el vehículo consumirá combustible.","el vehículo consumirá combustible."
"276","Conduciendo un vehículo pesado y con el motor funcionando a la temperatura adecuada, el consumo de carburante depende, entre otros factores…","0.9928","q_46d9040e","Conduciendo un vehículo pesado y con el motor funcionando a la temperatura adecuada, el consumo de carburante depende, entre otros factores,:","Conducción racional","ANSWER_CONFLICT","de la relación de marchas seleccionada.","de la posición del pedal del acelerador."
"282","Al seleccionar la relación de marchas en la caja de velocidades de un vehículo pesado, y para consumir el mínimo carburante posible, es conveniente utilizar aquella:","0.9136","q_2a95c8a4","Al seleccionar la relación de marchas en la caja de velocidades de un vehículo pesado, y para consumir el carburante mínimo posible, es conveniente utilizar aquella:","Conducción racional","ANSWER_CONFLICT","que permita mantener la aguja del cuentarrevoluciones dentro de la zona marcada de color verde en el mismo.","con la que se obtenga la máxima potencia."
"289","Un calentamiento excesivo de las zapatas…","0.9756","q_e585c5af","Un calentamiento excesivo de las zapatas:","Mecánica y mantenimiento","ANSWER_MATCH","disminuye la eficacia del frenado.","disminuye la eficacia del frenado."
"295","¿Cuál de estos factores afecta más al ahorro de combustible?","0.9831","q_347029d1","¿Cuál de estos factores afectan más al ahorro de combustible?","Conducción racional","ANSWER_CONFLICT","La elección de la relación de marchas correcta durante la circulación.","La marca del fabricante de la carrocería."
"299","El freno eléctrico…","0.9474","q_1ffdf188","El freno eléctrico:","Mecánica y mantenimiento","ANSWER_CONFLICT","actúa manteniendo las revoluciones de la transmisión en un régimen determinado.","evita la pérdida de frenada por calentamiento de frenos."
"308","El retardador hidráulico o electromagnético…","0.9773","q_93fdabda","El retardador hidráulico o electromagnético:","Mecánica y mantenimiento","ANSWER_MATCH","está situado en la transmisión del vehículo.","está situado en la transmisión del vehículo."
"322","La energía que posee un vehículo en movimiento…","0.9787","q_2e487300","La energía que posee un vehículo en movimiento:","Conducción racional","ANSWER_MATCH","es mayor cuanto mayor sea la velocidad a la que circule.","es mayor cuanto mayor sea la velocidad a la que circule."
"353","¿Qué es el sistema ASR?","0.8571","q_10c44c97","¿Qué es el sistema EBS?","Mecánica y mantenimiento","NEEDS_REVIEW","Un sistema de control de tracción.","Un sistema de control electrónico de frenos."
"354","¿Qué es el sistema TCS?","0.9048","q_10c44c97","¿Qué es el sistema EBS?","Mecánica y mantenimiento","NEEDS_REVIEW","Un sistema de control de tracción.","Un sistema de control electrónico de frenos."
"4","La resistencia a la rodadura en un neumático aumenta…","0.9811","q_b48e073b","La resistencia a la rodadura en un neumático aumenta:","Mecánica y mantenimiento","ANSWER_MATCH","con la reducción de la presión de inflado.","con la reducción de la presión de inflado."
"19","La energía acumulada de un vehículo depende…","0.9773","q_dd4b81e9","La energía acumulada de un vehículo depende:","Conducción racional","NEEDS_REVIEW","de la masa y la velocidad del vehículo.","de la masa y la velocida"
"22","La resistencia aerodinámica…","0.9643","q_db02efd1","La resistencia aerodinámica:","Conducción racional","ANSWER_MATCH","crece con el cuadrado de la velocidad.","crece con el cuadrado de la velocidad."
"27","El consumo de carburante…","0.96","q_425a74c8","El consumo de carburante:","Conducción racional","ANSWER_CONFLICT","aumenta con la velocidad.","aumenta a elevado número de revoluciones."
"58","Cuando la presión de un neumático es inferior a la establecida por el fabricante, ¿cuál de las siguientes respuestas es falsa?","0.8231","q_13de4807","Cuando la presión de un neumático es superior a la establecida por el fabricante, ¿cuál de las siguientes afirmaciones es incorrecta?","Mecánica y mantenimiento","ANSWER_CONFLICT","Disminuye la cantidad de carburante necesaria para mover el vehículo.","Los neumáticos duran más."
"59","El empuje que el aire ejerce sobre un vehículo en movimiento repercute sobre:","0.8816","q_7db66b0d","El empuje que el aire ejerce sobre el camión en movimiento repercute sobre:","Carga y logística","ANSWER_MATCH","el consumo.","el consumo."
"72","¿Qué factor no influye en el consumo de carburante de un vehículo?","0.8615","q_9c489841","¿Qué factor no influye en el consumo de carburante de un automóvil?","Conducción racional","ANSWER_CONFLICT","El grado de concentración de anticongelante en el líquido refrigerante.","El octanaje del gasóleo."
"73","¿Qué factor no influye en el consumo de carburante de un vehículo pesado?","0.8169","q_9c489841","¿Qué factor no influye en el consumo de carburante de un automóvil?","Conducción racional","ANSWER_CONFLICT","El tipo de ralentizador que monte el vehículo.","El octanaje del gasóleo."
"74","En el consumo de carburante de un vehículo no influye:","0.8333","q_554d217d","En el consumo de carburante de un automóvil no influye:","Conducción racional","ANSWER_CONFLICT","la situación del volante de inercia.","la situación de las ruedas motrices."
"76","¿Qué factor no influye en el consumo de carburante de un vehículo?","0.8615","q_9c489841","¿Qué factor no influye en el consumo de carburante de un automóvil?","Conducción racional","ANSWER_CONFLICT","La capacidad de la batería.","El octanaje del gasóleo."
"77","¿Qué factor no influye en el consumo de carburante de un vehículo?","0.8615","q_9c489841","¿Qué factor no influye en el consumo de carburante de un automóvil?","Conducción racional","ANSWER_CONFLICT","El tipo de batería: con o sin mantenimiento.","El octanaje del gasóleo."
"80","¿Qué factor no influye en el consumo de carburante de un vehículo?","0.8615","q_9c489841","¿Qué factor no influye en el consumo de carburante de un automóvil?","Conducción racional","ANSWER_CONFLICT","El tipo de sistema de frenado: hidráulico o neumático.","El octanaje del gasóleo."
"82","¿Qué afecta al consumo de carburante de un vehículo?","0.8235","q_7aa17e0f","¿Qué afecta al consumo de carburante de un automóvil?","Conducción racional","ANSWER_CONFLICT","El mantenimiento del vehículo, el tipo de conducción que realice el conductor y la relación de marchas seleccionada en la caja de velocidades.","El mantenimiento del vehículo, las revoluciones por minuto del motor y la aerodinámica del vehículo."
"83","¿Qué afecta al consumo de carburante de un vehículo?","0.8235","q_7aa17e0f","¿Qué afecta al consumo de carburante de un automóvil?","Conducción racional","ANSWER_CONFLICT","El mantenimiento del vehículo, el tipo de conducción que realice el conductor y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","El mantenimiento del vehículo, las revoluciones por minuto del motor y la aerodinámica del vehículo."
"138","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal","0.8621","q_7dab53ba","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","Conducción racional","ANSWER_MATCH","dependiendo: Del mantenimiento que se realice al vehículo, el perfil de la carretera y la presión de los neumáticos.","del mantenimiento que se realice al vehículo, el perfil de la carretera y la presión de los neumáticos."
"139","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal","0.8621","q_7dab53ba","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","Conducción racional","NEEDS_REVIEW","dependiendo: Del mantenimiento que se realice al vehículo, el perfil de la carretera y la posición del pedal del acelerador.","del mantenimiento que se realice al vehículo, el perfil de la carretera y la presión de los neumáticos."
"141","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal","0.8621","q_7dab53ba","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","Conducción racional","NEEDS_REVIEW","dependiendo: Del mantenimiento que se realice al vehículo, el perfil de la carretera y las revoluciones por minuto del motor.","del mantenimiento que se realice al vehículo, el perfil de la carretera y la presión de los neumáticos."
"142","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal","0.8621","q_7dab53ba","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","Conducción racional","NEEDS_REVIEW","dependiendo: Del mantenimiento que se realice al vehículo, el perfil de la carretera y la relación de marchas seleccionada en la caja de velocidades.","del mantenimiento que se realice al vehículo, el perfil de la carretera y la presión de los neumáticos."
"161","Circulando con un vehículo con una determinada relación de marchas seleccionada en la caja de velocidades, el consumo de carburante será mayor:","0.9366","q_8fae019b","Circulando con un automóvil con una determinada relación de marchas seleccionada en la caja de velocidades, el consumo de carburante será mayor:","Conducción racional","ANSWER_MATCH","cuanto mayor sea la velocidad a la que se circule.","cuanto mayor sea la velocidad a la que se circule."
"162","Circulando con un vehículo con una determinada relación de marchas seleccionada en la caja de velocidades, el consumo de carburante será menor:","0.9366","q_254b1538","Circulando con un automóvil con una determinada relación de marchas seleccionada en la caja de velocidades, el consumo de carburante será menor:","Conducción racional","ANSWER_MATCH","cuanto menor sea la velocidad a la que se circule.","cuanto menor sea la velocidad a la que se circule."
"3","Los conductores de bicicletas y, en su caso, los ocupantes…","0.9825","q_523dd877","Los conductores de bicicletas y, en su caso, los ocupantes:","Geral","ANSWER_MATCH","están obligados a utilizar cascos de protección homologados o certificados cuando circulen en vías interurbanas, salvo en circunstancias autorizadas reglamentariamente.","están obligados a utilizar cascos de protección homologados o certificados cuando circulen en vías interurbanas, salvo en circunstancias autorizadas reglamentariamente."
"12","Cuando las personas mayores actúan como peatones, son uno de los colectivos:","0.9595","q_7f09a624","Cuando las personas mayores actúan como peatones, es uno de los colectivos:","Geral","NEEDS_REVIEW","más vulnerables por su deterioro psicofísico.","menos vulnerables por su experiencia."
"13","Las ruedas del vehículo constituyen un elemento:","0.94","q_e474e475","Las ruedas del vehículo constituyen un elemento de:","Mecánica y mantenimiento","ANSWER_MATCH","de seguridad activa.","seguridad activa."
"14","Ante la previsión de condiciones meteorológicas adversas debidas a la nieve, ¿qué debemos llevar en el vehículo?","0.8257","q_3f9a7c38","Ante la previsión de condiciones meteorológicas adversas, ¿qué debemos llevar en el vehículo?","Seguridad vial","ANSWER_CONFLICT","Combustible suficiente para poder contar con más tiempo de calefacción.","Poco combustible para ir más rápido."
"15","Circulando con cadenas no podemos superar los…","0.8913","q_622c8715","Circulando con cadenas no podemos superar:","Geral","ANSWER_MATCH","50 km/h.","50 km/h."
"21","El control de estabilidad…","0.9615","q_5ebb3233","El control de estabilidad:","Conducción racional","ANSWER_MATCH","intenta que el vehículo permanezca en la trayectoria que marcan las ruedas, corrigiendo desviaciones del mismo.","intenta que el vehículo permanezca en la trayectoria que marca el vehículo, corrigiendo desviaciones del mismo."
"49","Durante la conducción, para poder realizar las maniobras con seguridad, ¿qué acciones de prevención serán más adecuadas?","0.9655","q_01060427","Durante la conducción, para poder realizar las maniobras con suavidad, ¿qué acciones de prevención serán más adecuadas?","Geral","ANSWER_MATCH","Adaptar la velocidad a la situación del tráfico de forma rápida y efectiva.","Adaptar la velocidad a la situación del tráfico de forma rápida y efectiva."
"52","Circulando por una calzada nevada o helada, ¿se puede ver afectado peligrosamente el control de la dirección del vehículo?","0.9916","q_2e6a3c15","Circulando por una calzada nevada o helada, ¿se puede ver afectado peligrosamente al control de la dirección del vehículo?","Seguridad vial","ANSWER_MATCH","Sí, al circular por un lado sobre suelo seco y por el otro sobre nieve o hielo.","Sí, al circular por un lado sobre suelo seco y por el otro sobre nieve o hielo."
"63","En tramos en pendientes ascendentes o llanos en caso de nevada, ¿qué relación de marcha debemos utilizar?","0.9903","q_f7e97eb1","En tramos en pendientes ascendientes o llanos en caso de nevada, ¿qué relación de marcha debemos utilizar?","Conducción racional","ANSWER_MATCH","Marchas altas con el motor poco revolucionado.","Marchas altas con el motor poco revolucionado."
"76","¿Cuáles son las medidas que es aconsejable tomar con lluvia?","0.8448","q_537f8148","¿Cuáles son las medidas que es necesario tomar con lluvia?","Seguridad vial","ANSWER_MATCH","Utilizar la luz de cruce o antiniebla en caso de lluvia fuerte, frenar de manera suave y progresiva y aumentar la distancia de seguridad.","Utilizar la luz de cruce o antiniebla en caso de lluvia fuerte, frenar de manera suave y progresiva y aumentar la distancia de seguridad."
"81","¿Cuáles son los peligros fundamentales en la conducción con nieve?","0.9394","q_90844589","¿Cuáles son los peligros fundamentales para la conducción con nieve?","Seguridad vial","ANSWER_CONFLICT","• Menor adherencia. • Menor visibilidad. • Las marcas viales pueden estar ocultas. • Todas las respuestas anteriores son correctas.","Menor adherencia."
"83","Si, debido a las circunstancias climatológicas adversas de hielo o nieve, fuese obligatorio el uso de cadenas, ¿dónde se deberán poner estas?","0.9437","q_6ee5e4be","Si debido a las circunstancias climatológicas adversas de hielo o nieve fuese obligatorio el uso de cadenas, ¿dónde se deberán poner las cadenas?","Seguridad vial","ANSWER_MATCH","Al menos en una rueda a cada lado del eje motriz.","Al menos en una rueda a cada lado del eje motriz."
"112","En caso de condiciones meteorológicas adversas por nieve, ¿qué se recomienda hacer si el nivel de circulación es negro?","0.9138","q_9f2c573d","En caso de condiciones meteorológicas adversas, ¿qué se recomienda hacer si el nivel de circulación es negro?","Seguridad vial","ANSWER_CONFLICT","No abandonar el vehículo si no se está seguro de encontrar un refugio.","Continuar la marcha."
